ID,source_id,source_type,unix_time,date_time,text,translated,photo_video_id,duplicate,photofilename,processed,predicted,score
4061,tweet2380,X,0.0,2020-09-19 16:20:15,@rickanti αλλο ειναι το ποιντ. Περιεργος καιρος,rickanti αλλο ειναι το ποιντ. Περιεργος καιρος,,,,rickanti αλλο ειναι το ποιντ περιεργος καιρος,0,TN
3285,tweet1604,X,0.0,2020-09-18 18:54:32,🌀 Tropische storm #Ianos zorgt voor enorme overstromingen op de Griekse eilanden Kefalonia en Zakynthos. Deze bizarre beelden zijn vanmiddag gemaakt... #medicane,Η τροπική καταιγίδα #IANOS δημιουργεί τεράστιες πλημμύρες στα ελληνικά νησιά της Κεφαλονίας και του Ζακύνθου. Αυτές οι παράξενες εικόνες έγιναν σήμερα το απόγευμα.#Medicane,,,,η τροπική καταιγίδα ianos δημιουργεί τεράστιες πλημμύρες στα ελληνικά νησιά της κεφαλονίας και του ζακύνθου αυτές οι παράξενες εικόνες έγιναν σήμερα το απόγευμα medicane,0,TN
1372,''2400826270669140181,instagram,1600420815.0,2020-09-18 09:20:15,Der Hafen füllt sich! #ianos\nRuhe vor dem Sturm? 🌬😅\n#peloponnese #griechenland #sonnevordemSturm #schiffe #sichererhafen #greece #sturm #medicane #portoheli,Η θύρα γεμίζει! #Iianos \ nuhe μπροστά από την καταιγίδα; \ n #peloponnese #grece #sonnevordemsturm #schiffe #icherhafen #greece #sturm #Medicane #portoheli,,,119618452_621298501888437_5564628282899350491_n.jpg,η θύρα γεμίζει iianos nuhe μπροστά από την καταιγίδα n peloponnese grece sonnevordemsturm schiffe icherhafen greece sturm medicane portoheli,0,TN
1054,''2401831237625133167,instagram,1600540617.0,2020-09-19 18:36:57,Power cut in #agiosgeorgios but we have candles in the taverna! #ianos #cyclone #greece,Κοπή ρεύματος σε #agiosgeorgios Αλλά έχουμε κεριά στην ταβέρνα! #ianos #CyClone #greece,,,119703083_125505502598330_1008150100474201176_n.jpg,κοπή ρεύματος σε agiosgeorgios αλλά έχουμε κεριά στην ταβέρνα ianos cyclone greece,0,TN
3095,tweet1414,X,0.0,2020-09-18 15:57:32,"ΕΛΛΑΔΑ-ΚΟΣΜΟΣ Κακοκαιρία «Ιανός» - «Επικίνδυνη κατάσταση»: Συναγερμός και επιφυλακή για τον μεσογειακό κυκλώνα: Ισχυρές βροχές και καταιγίδες, έντονα πλημμυρικά φαινόμενα, θυελλώδεις άνεμοι, αλλά και σημαντικές ζημιές σε τρία νησιά του Ιονίου -την… https://t.co/eAFtoiGJzx https://t.co/VZ2w7LIZPH","ΕΛΛΑΔΑ-ΚΟΣΜΟΣ Κακοκαιρία «Ιανός» - «Επικίνδυνη κατάσταση»: Συναγερμός και επιφυλακή για τον μεσογειακό κυκλώνα: Ισχυρές βροχές και καταιγίδες, έντονα πλημμυρικά φαινόμενα, θυελλώδεις άνεμοι, αλλά και σημαντικές ζημιές σε τρία νησιά του Ιονίου -την…",,,,ελλαδα κοσμος κακοκαιρία ιανός επικίνδυνη κατάσταση συναγερμός και επιφυλακή για τον μεσογειακό κυκλώνα ισχυρές βροχές και καταιγίδες έντονα πλημμυρικά φαινόμενα θυελλώδεις άνεμοι αλλά και σημαντικές ζημιές σε τρία νησιά του ιονίου την,0,TN
5613,tweet3932,X,0.0,2020-09-22 07:48:09,Στα 20 εκ. ευρώ οι ζημιές στη Μαγνησία https://t.co/3JkwwjgZMd,Στα 20 εκ. ευρώ οι ζημιές στη Μαγνησία,,,,στα 20 εκ ευρώ οι ζημιές στη μαγνησία,0,TN
6128,tweet4447,X,0.0,2020-09-23 09:46:02,Ζημιές από την καταστροφική πλημμύρα στο Αρχαιολογικό Μουσείο Καρδίτσας https://t.co/Lz2ViFzodA,Ζημιές από την καταστροφική πλημμύρα στο Αρχαιολογικό Μουσείο Καρδίτσας,,,,ζημιές από την καταστροφική πλημμύρα στο αρχαιολογικό μουσείο καρδίτσας,0,TN
3360,tweet1679,X,0.0,2020-09-18 20:24:28,"""A rare #Mediterranean #hurricane, otherwise known as a ""#medicane,"" has made landfall according to the Hellenic National Meteorological Service. The storm, named #Ianos, is expected to impact mainland #Greece and the Peloponnese peninsula.""","Ένα σπάνιο #MedIterranean #Hurricane, γνωστό και ως ""#Medicane"", έχει κάνει την ξηρά σύμφωνα με την Ελληνική Εθνική Μετεωρολογική Υπηρεσία. Η καταιγίδα, που ονομάζεται #IANOS, αναμένεται να επηρεάσει την ηπειρωτική χώρα #Greece και τη χερσόνησο της Πελοπόννησου. """,,,,ένα σπάνιο mediterranean hurricane γνωστό και ως medicane έχει κάνει την ξηρά σύμφωνα με την ελληνική εθνική μετεωρολογική υπηρεσία η καταιγίδα που ονομάζεται ianos αναμένεται να επηρεάσει την ηπειρωτική χώρα greece και τη χερσόνησο της πελοπόννησου,0,TN
8284,YouTube927,YouTube,,2020-09-19T14:39:48Z,Torrential rains and violent gusts of wind batter the Greek island of Lefkada and the city of Argostoli as the country is lashed by a ... UGC: Greece hit by a Mediterranean hurricane | AFP,"Οι καταρρακτώδεις βροχές και οι βίαιες ριπές του αιολικού κτύπου το ελληνικό νησί Lefkada και η πόλη Argostoli, καθώς η χώρα είναι προσθετική από ένα. UGC: Η Ελλάδα που χτυπήθηκε από μεσογειακό τυφώνα | AFP",7EV2naZj6PE,1.0,na,οι καταρρακτώδεις βροχές και οι βίαιες ριπές του αιολικού κτύπου το ελληνικό νησί lefkada και η πόλη argostoli καθώς η χώρα είναι προσθετική από ένα ugc η ελλάδα που χτυπήθηκε από μεσογειακό τυφώνα afp,0,TN
7750,YouTube393,YouTube,,2020-09-21T14:46:08Z,Ciclone &quot;Ianos&quot; deixa rasto de morte e destruição Governo grego promete ajuda financeira a todas as famílias atingidas pela intempérie LEIA MAIS ...,"Cyclone & ποσοστώσεις Ianos "" Αφήνει ένα ίχνος θανάτου και καταστροφής Η ελληνική κυβέρνηση υπόσχεται οικονομική βοήθεια σε όλες τις οικογένειες που επηρεάζονται από τον καιρό που διαβάζουν περισσότερα.",jRWgYG9eM1I,1.0,na,cyclone ποσοστώσεις ianos αφήνει ένα ίχνος θανάτου και καταστροφής η ελληνική κυβέρνηση υπόσχεται οικονομική βοήθεια σε όλες τις οικογένειες που επηρεάζονται από τον καιρό που διαβάζουν περισσότερα,0,TN
6774,Flickr226,Flickr,,2020-09-18 17:06:01,"Entergy’s Hurricane Laura information website provides customers with storm restoration and recovery updates. Visit the site at <a href=""https://entergy.com/hurricanelaura"" rel=""noreferrer nofollow"">entergy.com/hurricanelaura</a>",Η ιστοσελίδα Information Information της Entergy της Entergy παρέχει στους πελάτες ενημερώσεις αποκατάστασης και αποκατάστασης καταιγίδων. Επισκεφθείτε τον ιστότοπο στο hurricanelaura ,50356520826,,50356520826.jpg,η ιστοσελίδα information information της entergy της entergy παρέχει στους πελάτες ενημερώσεις αποκατάστασης και αποκατάστασης καταιγίδων επισκεφθείτε τον ιστότοπο στο hurricanelaura,0,TN
5504,tweet3823,X,0.0,2020-09-21 22:09:35,Διασωληνωθείτε όσο είναι καιρός είναι το μήνυμα της κυβέρνησης.,Διασωληνωθείτε όσο είναι καιρός είναι το μήνυμα της κυβέρνησης.,,,,διασωληνωθείτε όσο είναι καιρός είναι το μήνυμα της κυβέρνησης,0,TN
3976,tweet2295,X,0.0,2020-09-19 14:24:02,"Ραφήνα τώρα (14:22)
Βροχή τέλος
Αέρας ηπιότερος
Αλλά ο καιρός παραμένει ""βαρύς""","Ραφήνα τώρα (14:22)Βροχή τέλοςΑέρας ηπιότεροςΑλλά ο καιρός παραμένει ""βαρύς""",,,,ραφήνα τώρα 14 22 βροχή τέλοςαέρας ηπιότεροςαλλά ο καιρός παραμένει βαρύς,0,FN
4982,tweet3301,X,0.0,2020-09-20 23:08:39,"Ευθύμης Λέκκας στο κεντρικό δελτίο ειδήσεων του ΑΝΤ1: Η #Καρδίτσα χρειάζεται ένα ""αναπτυξιακό σχέδιο""
Ο καθηγητής περιγράφει την πορεία του φαινομένου και τους λόγους που το κατέστησαν καταστροφικό για την περιοχή @lekkasuoa @uoaofficial #Ianos #Ιανός 
https://t.co/FogTakKQMC","Ευθύμης Λέκκας στο κεντρικό δελτίο ειδήσεων του ΑΝΤ1: Η #Καρδίτσα χρειάζεται ένα ""αναπτυξιακό σχέδιο""Ο καθηγητής περιγράφει την πορεία του φαινομένου και τους λόγους που το κατέστησαν καταστροφικό για την περιοχή @lekkasuoa @uoaofficial #Ianos #Ιανός",,,,ευθύμης λέκκας στο κεντρικό δελτίο ειδήσεων του αντ1 η καρδίτσα χρειάζεται ένα αναπτυξιακό σχέδιο ο καθηγητής περιγράφει την πορεία του φαινομένου και τους λόγους που το κατέστησαν καταστροφικό για την περιοχή lekkasuoa uoaofficial ianos ιανός,0,TN
4810,tweet3129,X,0.0,2020-09-20 16:56:08,"Θάφτηκε κάτω από πέτρες και λάσπη η #Άσσος στην #Κεφαλονια [#βίντεο] 
#Ianos #ΙΑΝΟΣ 
https://t.co/Peoa47GEfR",Θάφτηκε κάτω από πέτρες και λάσπη η #Άσσος στην #Κεφαλονια [#βίντεο] #Ianos #ΙΑΝΟΣ,,,,θάφτηκε κάτω από πέτρες και λάσπη η άσσος στην κεφαλονια βίντεο ianos ιανος,0,TN
4515,tweet2834,X,0.0,2020-09-20 10:16:01,Κακοκαιρία Ιανός: Πλημμύρισε το Ηράκλειο – Προκλήθηκαν ζημιές και προβλήματα στην ηλεκτροδότηση https://t.co/EauktoW4Vx,Κακοκαιρία Ιανός: Πλημμύρισε το Ηράκλειο – Προκλήθηκαν ζημιές και προβλήματα στην ηλεκτροδότηση,,,,κακοκαιρία ιανός πλημμύρισε το ηράκλειο προκλήθηκαν ζημιές και προβλήματα στην ηλεκτροδότηση,0,TN
7440,YouTube83,YouTube,,2020-09-17T05:11:30Z,"Inondations catastrophiques après le passage de Sally sur le sud-est des Etats-Unis L'Alabama, la Floride et le Mississippi en état d'urgence inondation après le passage de l'ouragan Sally. Bien qu'amoindri, il a ...","Καταστροφικές πλημμύρες μετά την επίσκεψη της Sally στα νοτιοανατολικά των Ηνωμένων Πολιτειών Αλαμπάμα, Φλόριντα και Μισισιπή σε πλημμύρα έκτακτης ανάγκης μετά τη μετάβαση του τυφώνα Sally. Αν και έχει.",59yZmDDwjPo,1.0,na,καταστροφικές πλημμύρες μετά την επίσκεψη της sally στα νοτιοανατολικά των ηνωμένων πολιτειών αλαμπάμα φλόριντα και μισισιπή σε πλημμύρα έκτακτης ανάγκης μετά τη μετάβαση του τυφώνα sally αν και έχει,0,TN
7180,Flickr632,Flickr,,2020-10-03 10:46:48,Orages nocturnes au large de la Corse,Νυχτερινές καταιγίδες από την Κορσική,50411222236,,50411222236.jpg,νυχτερινές καταιγίδες από την κορσική,0,TN
4308,tweet2627,X,0.0,2020-09-19 23:00:16,"Μόλις πέρασε ο Χαρδιαλας από το Αργοστόλι σε κεντρικό δρόμο κοντά στην Πλατεία Αργοστολίου με καμία 10ριά μαζί του της πυροσβεστικής υπηρεσίας. Ένας τύπος απέναντι τον χειροκρότησε....ή φανατικός οπαδός ή δικός του. Ήρθαν για να καταγράψουν τις ζημιές στο νησί. 
Oh my god 🤣",Μόλις πέρασε ο Χαρδιαλας από το Αργοστόλι σε κεντρικό δρόμο κοντά στην Πλατεία Αργοστολίου με καμία 10ριά μαζί του της πυροσβεστικής υπηρεσίας. Ένας τύπος απέναντι τον χειροκρότησε.ή φανατικός οπαδός ή δικός του. Ήρθαν για να καταγράψουν τις ζημιές στο νησί. Oh my god,,,,μόλις πέρασε ο χαρδιαλας από το αργοστόλι σε κεντρικό δρόμο κοντά στην πλατεία αργοστολίου με καμία 10ριά μαζί του της πυροσβεστικής υπηρεσίας ένας τύπος απέναντι τον χειροκρότησε ή φανατικός οπαδός ή δικός του ήρθαν για να καταγράψουν τις ζημιές στο νησί oh my god,0,TN
4382,tweet2701,X,0.0,2020-09-20 06:42:20,Καιρός: Επιμένει ο “Ιανός” με ισχυρές καταιγίδες και μποφόρ https://t.co/DQp9DLi1jQ #Ant1news #Ιανός #κακοκαιρία_Ιανός #πρόβλεψη_καιρού https://t.co/yUeuPPoDvN,Καιρός: Επιμένει ο “Ιανός” με ισχυρές καταιγίδες και μποφόρ #Ant1news #Ιανός #κακοκαιρία_Ιανός #πρόβλεψη_καιρού,,,,καιρός επιμένει ο ιανός με ισχυρές καταιγίδες και μποφόρ ant1news ιανός κακοκαιρία_ιανός πρόβλεψη_καιρού,0,TN
3842,tweet2161,X,0.0,2020-09-19 11:35:21,"Εάν είχε προβλεφθεί σωστά και είχε ειδοποιηθεί η Θεσσαλία, θα γινόταν κάτι διαφορετικό;Θα καθάριζαν φρεάτια εν όψη κατακλυσμου;Θα εκενωναν από προχθές τα επικίνδυνα κτίρια;Ρίχνουμε ευθύνες στους μετεωρολόγους λες και δεν έχουν μάτια κ κοινό νου οι ιθύνοντες. #κακοκαιρια #Ianos","Εάν είχε προβλεφθεί σωστά και είχε ειδοποιηθεί η Θεσσαλία, θα γινόταν κάτι διαφορετικό;Θα καθάριζαν φρεάτια εν όψη κατακλυσμου;Θα εκενωναν από προχθές τα επικίνδυνα κτίρια;Ρίχνουμε ευθύνες στους μετεωρολόγους λες και δεν έχουν μάτια κ κοινό νου οι ιθύνοντες. #κακοκαιρια #Ianos",,,,εάν είχε προβλεφθεί σωστά και είχε ειδοποιηθεί η θεσσαλία θα γινόταν κάτι διαφορετικό θα καθάριζαν φρεάτια εν όψη κατακλυσμου θα εκενωναν από προχθές τα επικίνδυνα κτίρια ρίχνουμε ευθύνες στους μετεωρολόγους λες και δεν έχουν μάτια κ κοινό νου οι ιθύνοντες κακοκαιρια ianos,0,TN
4466,tweet2785,X,0.0,2020-09-20 09:21:45,Πως τα φέρνει ο καιρός ορισμένες φορές...  #SportsroomGr #Ανακοίνωση #ΓκάρεθΜπέιλ #θαυμαστής #Μεταγραφές #ΣέρχιοΡεγκιλόν #Συμπαίκτες #Τότεναμ https://t.co/84GlowbaZ0 https://t.co/4sdvQ1e1Is,Πως τα φέρνει ο καιρός ορισμένες φορές.#SportsroomGr #Ανακοίνωση #ΓκάρεθΜπέιλ #θαυμαστής #Μεταγραφές #ΣέρχιοΡεγκιλόν #Συμπαίκτες #Τότεναμ,,,,πως τα φέρνει ο καιρός ορισμένες φορές sportsroomgr ανακοίνωση γκάρεθμπέιλ θαυμαστής μεταγραφές σέρχιορεγκιλόν συμπαίκτες τότεναμ,0,TN
1767,tweet86,X,0.0,2020-09-16 12:17:16,"ICON pushes #medicane #Cassilda more to the northwest of Greece, while GFS and ECMWF go for SW Greece... But all are in agreement for a strong medicane with severe winds and high rain accumulations...
@wxcharts #Ianos https://t.co/AEjK7yWnAL","Το εικονίδιο ωθεί #Medicane #Cassilda περισσότερο στα βορειοδυτικά της Ελλάδας, ενώ οι GFs και ECMWF πηγαίνουν για SW Ελλάδα.",,,,το εικονίδιο ωθεί medicane cassilda περισσότερο στα βορειοδυτικά της ελλάδας ενώ οι gfs και ecmwf πηγαίνουν για sw ελλάδα,0,TN
1447,''2400735007687020248,instagram,1600409936.0,2020-09-18 06:18:56,"Περιμένοντας τον κυκλώνα «Ιανό»...Τελικά θα περάσει από Αθήνα ή άλλαξαν τα σχέδια? \nΤεσπα, μου έκανε εντύπωση και πάλι η ονομασία ..για την ιστορία ο Ιανος ήταν ο θεός όλων των ενάρξεων και των μεταβάσεων. Η πρώτη ημέρα του έτους, η έναρξη της νέας χρονιάς ακόμα και ο Ιανουάριος ήταν αφιερωμένος σε αυτή τη θεότητα. Δεν ειναι τυχαία η ονομασία αν σκεφτείς ότι χθες είχαμε Νέα Σελήνη. \nΉ λες απλά να θέλουν τα προωθήσουν τα βιβλιοπωλεία @ianos_gr ???🤣🤣🤣\nόπως και να έχει θα ήθελα πολύ να γνωρίσω αυτόν που δίνει τα ονόματα στις καταιγίδες και στους κυκλώνες μας! \n.\n.\n.\n#winteriscoming #ianos #friday #thougtsoftheday","Περιμένοντας τον κυκλώνα «Ιανό».Τελικά θα περάσει από Αθήνα ή άλλαξαν τα σχέδια? \nΤεσπα, μου έκανε εντύπωση και πάλι η ονομασία.για την ιστορία ο Ιανος ήταν ο θεός όλων των ενάρξεων και των μεταβάσεων. Η πρώτη ημέρα του έτους, η έναρξη της νέας χρονιάς ακόμα και ο Ιανουάριος ήταν αφιερωμένος σε αυτή τη θεότητα. Δεν ειναι τυχαία η ονομασία αν σκεφτείς ότι χθες είχαμε Νέα Σελήνη. \nΉ λες απλά να θέλουν τα προωθήσουν τα βιβλιοπωλεία @ianos_gr ???\nόπως και να έχει θα ήθελα πολύ να γνωρίσω αυτόν που δίνει τα ονόματα στις καταιγίδες και στους κυκλώνες μας! \n.\n.\n.\n#winteriscoming #ianos #friday #thougtsoftheday",,,119576144_729218567676373_1213972441029023269_n.jpg,περιμένοντας τον κυκλώνα ιανό τελικά θα περάσει από αθήνα ή άλλαξαν τα σχέδια nτεσπα μου έκανε εντύπωση και πάλι η ονομασία για την ιστορία ο ιανος ήταν ο θεός όλων των ενάρξεων και των μεταβάσεων η πρώτη ημέρα του έτους η έναρξη της νέας χρονιάς ακόμα και ο ιανουάριος ήταν αφιερωμένος σε αυτή τη θεότητα δεν ειναι τυχαία η ονομασία αν σκεφτείς ότι χθες είχαμε νέα σελήνη nή λες απλά να θέλουν τα προωθήσουν τα βιβλιοπωλεία ianos_gr nόπως και να έχει θα ήθελα πολύ να γνωρίσω αυτόν που δίνει τα ονόματα στις καταιγίδες και στους κυκλώνες μας n n n n winteriscoming ianos friday thougtsoftheday,0,TN
3651,tweet1970,X,0.0,2020-09-19 08:35:39,Ιανός : Αγριεμένος ο καιρός σήμερα – Ποιες περιοχές θα «χτυπήσει».  https://t.co/I66YF4cjJE,Ιανός : Αγριεμένος ο καιρός σήμερα – Ποιες περιοχές θα «χτυπήσει».,,,,ιανός αγριεμένος ο καιρός σήμερα ποιες περιοχές θα χτυπήσει,0,TN
3567,tweet1886,X,0.0,2020-09-19 01:42:12,"#Grecia 🇬🇷 🌀
Inundaciones severas en la isla de #Cefalonia, al oeste de Grecia tras el paso del sistema tropical #Medicane #Ianos. 

Créditos 🎥 Tayo Kopfer
Vía @chematierra
https://t.co/uBYeEc1aPv https://t.co/S9A8IaI6HZ","#Grecia σοβαρές πλημμύρες στο νησί #Cefalonia, στα δυτικά της Ελλάδας μετά το πέρασμα του τροπικού συστήματος #Medicane #ianos. Δάνεια Tayo Kopfevía @chematierra",,,,grecia σοβαρές πλημμύρες στο νησί cefalonia στα δυτικά της ελλάδας μετά το πέρασμα του τροπικού συστήματος medicane ianos δάνεια tayo kopfevía chematierra,0,TN
1160,''2400404933544674035,instagram,1600370588.0,2020-09-17 19:23:08,|Η αγγελική μορφή του Ιανού|\n\n📸 credits @maldini07 🙏❤\n\n#visititea #itea #iteafokidas #fokida #centralgreece #visitcentralgreece #greece #visitgreece #discovergreece #exploregreece #reasonstovisitgreece #walkingreece #lovegreece #loveitea #beautifuldestinations #valitsamas #athensvoice #meet_greece #my_greece #my_fokida #myitea #photooftheday #greek_panorama #instaphoto #ianos #ianoscoming,Η α -γελ. AlkingReece #LoveGreece #LoveItea #BeautifulDestinations #Valitsamas # athensvoice #meet_greece #my_greece #my_fokida #myitea #photooftheday #greek_panorama #instaphoto #ianos #ianosoccing,,,119675438_122743292647689_891669696726845054_n.jpg,η α γελ alkingreece lovegreece loveitea beautifuldestinations valitsamas athensvoice meet_greece my_greece my_fokida myitea photooftheday greek_panorama instaphoto ianos ianosoccing,1,TP
338,''2401598986344668424,instagram,1600512930.0,2020-09-19 10:55:30,Storm. #thecalmbeforethestorm #ianos #vouliagmeni #greece #blackandwhite #photography #seawaves #view #weatherthestorm,Καταιγίδα. #TheCalmBeForethestorm #IANOS #VouliagMeni #GREECE #BLACKANDWHITE #PHOTography #Seawaves #View #WeatherThestorm,,,119886559_173584740917176_6674540978011997164_n.jpg,καταιγίδα thecalmbeforethestorm ianos vouliagmeni greece blackandwhite photography seawaves view weatherthestorm,1,TP
1550,''2400255028148639568,instagram,1600352718.0,2020-09-17 14:25:18,"Προετοιμαζόμαστε να αντιμετωπίσουμε ένα ακραίο καιρικό φαινόμενο, έναν Μεσογειακό Κυκλώνα, 🌀 τον Ιανό🌧️💨⛈️\n#komotini #COVID19 #cyclone #ianos #catastrophe #hellas #hellenicredcross #redcross","Προετοιμαζόμαστε να αντιμετωπίσουμε ένα ακραίο καιρικό φαινόμενο, έναν Μεσογειακό Κυκλώνα, τον Ιανό\n#komotini #COVID19 #cyclone #ianos #catastrophe #hellas #hellenicredcross #redcross",,,119525915_788786775244398_7576512328549548403_n.jpg,προετοιμαζόμαστε να αντιμετωπίσουμε ένα ακραίο καιρικό φαινόμενο έναν μεσογειακό κυκλώνα τον ιανό n komotini covid19 cyclone ianos catastrophe hellas hellenicredcross redcross,0,TN
6532,tweet4851,X,0.0,2020-09-24 00:42:17,Τώρα ισχυρή καταιγίδα στην δοκιμαζόμενη από τον Ιανό Κεφαλονιά. Ας ευχηθούμε να περάσει γρήγορα το φαινόμενο 🙏 #καιρος #Weather #kefalonia #SevereWeather #BigBrotherGR #AgriesMelisses #TheBachelorGR https://t.co/rvC076XiB6,Τώρα ισχυρή καταιγίδα στην δοκιμαζόμενη από τον Ιανό Κεφαλονιά. Ας ευχηθούμε να περάσει γρήγορα το φαινόμενο #καιρος #Weather #kefalonia #SevereWeather #BigBrotherGR #AgriesMelisses #TheBachelorGR,,,,τώρα ισχυρή καταιγίδα στην δοκιμαζόμενη από τον ιανό κεφαλονιά ας ευχηθούμε να περάσει γρήγορα το φαινόμενο καιρος weather kefalonia severeweather bigbrothergr agriesmelisses thebachelorgr,0,TN
4459,tweet2778,X,0.0,2020-09-20 09:14:33,"ΕΛΛΑΔΑ-ΚΟΣΜΟΣ Καιρός: Καταιγίδες στην Κρήτη - Αίθριος στην υπόλοιπη χώρα: Βροχές και καταιγίδες αναμένονται σήμερα, Κυριακή στην Κρήτη ενώ στην υπόλοιπη χώρα ο καιρός θα είναι βελτιωμένος, με τον κυκλώνα «Ιανό» να υποχωρεί.  ΔΕΙΤΕ ΟΛΟ ΤΟ ΑΡΘΡΟ ΠΑΤΩΝΤΑΣ… https://t.co/fwJCPYymkj https://t.co/BT2UFufacP","ΕΛΛΑΔΑ-ΚΟΣΜΟΣ Καιρός: Καταιγίδες στην Κρήτη - Αίθριος στην υπόλοιπη χώρα: Βροχές και καταιγίδες αναμένονται σήμερα, Κυριακή στην Κρήτη ενώ στην υπόλοιπη χώρα ο καιρός θα είναι βελτιωμένος, με τον κυκλώνα «Ιανό» να υποχωρεί. ΔΕΙΤΕ ΟΛΟ ΤΟ ΑΡΘΡΟ ΠΑΤΩΝΤΑΣ…",,,,ελλαδα κοσμος καιρός καταιγίδες στην κρήτη αίθριος στην υπόλοιπη χώρα βροχές και καταιγίδες αναμένονται σήμερα κυριακή στην κρήτη ενώ στην υπόλοιπη χώρα ο καιρός θα είναι βελτιωμένος με τον κυκλώνα ιανό να υποχωρεί δειτε ολο το αρθρο πατωντας,0,TN
