"ID","source_id","source_type","unix_time","date_time","text","translated","photo_video_id","duplicate","photofilename","processed","predicted","score","scored_value"
7286,"Flickr738","Flickr",,"2020-09-05 20:39:29","The neighboorhood never looked so odd. After I processed this image, it felt like a bit too much pastel to me. I hit the reset button to revert all edits and it really was this pastel looking with such a strange light.","Η γειτονιά δεν φαινόταν ποτέ τόσο περίεργη. Αφού επεξεργάστηκα αυτήν την εικόνα, αισθάνθηκε σαν λίγο πολύ παστέλ για μένα. Χτύπησα το κουμπί επαναφοράς για να επαναφέρω όλες τις επεξεργασίες και ήταν πραγματικά αυτό το παστέλ να κοιτάζει με ένα τόσο περίεργο φως.",50309691827,,"50309691827.jpg","η γειτονιά δεν φαινόταν ποτέ τόσο περίεργη αφού επεξεργάστηκα αυτήν την εικόνα αισθάνθηκε σαν λίγο πολύ παστέλ για μένα χτύπησα το κουμπί επαναφοράς για να επαναφέρω όλες τις επεξεργασίες και ήταν πραγματικά αυτό το παστέλ να κοιτάζει με ένα τόσο περίεργο φως",0,"TN",0
2818,"tweet1137","X",0,"2020-09-18 11:08:23","#Ιανός 🌀
@nhardalias: Κρίσιμες οι επόμενες 6-9 ώρες, δημιουργείται νέο μέτωπο που θα χτυπήσει Αττική &amp; άλλες περιοχές

Ενδέχεται να πληγούν οι νομοί Καρδίτσας, Μαγνησίας, Βοιωτίας &amp; Φθιώτιδας, πιθανότατα η Φωκίδα &amp; ίσως η Β.Εύβοια

https://t.co/2oGU8kOakc

#Ianos #MedicaneIanos https://t.co/pPWjxBBFoG","#Ιανός @nhardalias: Κρίσιμες οι επόμενες 6-9 ώρες, δημιουργείται νέο μέτωπο που θα χτυπήσει Αττική &amp; άλλες περιοχέςΕνδέχεται να πληγούν οι νομοί Καρδίτσας, Μαγνησίας, Βοιωτίας &amp; Φθιώτιδας, πιθανότατα η Φωκίδα &amp; ίσως η Β.Εύβοια #MedicaneIanos",,,,"ιανός nhardalias κρίσιμες οι επόμενες 6 9 ώρες δημιουργείται νέο μέτωπο που θα χτυπήσει αττική amp άλλες περιοχέςενδέχεται να πληγούν οι νομοί καρδίτσας μαγνησίας βοιωτίας amp φθιώτιδας πιθανότατα η φωκίδα amp ίσως η β εύβοια medicaneianos",0,"TN",0
1235,"''2401043886844963076","instagram",1600446757,"2020-09-18 16:32:37","SWIPE PLS : At noon we thought the Medicane IANOS was going to hit us for the rest of the day, but 1 hour later it stopped pouring, the sun came out and we had a quite lovely day. Skies remain very menacing though, don't know what tomorrow will bring 🤔🇬🇷🌪️🌧️🌫️☔🌩️😱 #medicane #ianos #mediterranianhurricane #cyclades #greece #tinos #rain #pouring #skyporn #cloudporn #scary #cats #catsofinstagram #catstagram #catlovers #kitties #tabby #gingercats #straycats #kittens #myterrace #myverandah #myterraceview #keramoti #triandaros #pergola #turquoise","Swipe Pls: Το μεσημέρι σκεφτήκαμε ότι ο Medicane Ianos επρόκειτο να μας χτυπήσει για το υπόλοιπο της ημέρας, αλλά 1 ώρα αργότερα σταμάτησε να ρίχνει, ο ήλιος βγήκε και είχαμε μια πολύ όμορφη μέρα. Ο ουρανός παραμένει πολύ απειλητικός, όμως, δεν ξέρω τι αύριο θα φέρει #Medicane #IANOS #MedIterranianHurricane #CyClades #greece #tinos #Rain #Pouring #skyporn #CloudPorn #scary #CatsOfInstagram #CatStagram #catlovers #tabby # #straycats #kittens #myterrace #myverandah #myterraceview #keramoti #triandaros #pergola #turquoise",,,"119653121_197963961678622_4195164474676763761_n.jpg","swipe pls το μεσημέρι σκεφτήκαμε ότι ο medicane ianos επρόκειτο να μας χτυπήσει για το υπόλοιπο της ημέρας αλλά 1 ώρα αργότερα σταμάτησε να ρίχνει ο ήλιος βγήκε και είχαμε μια πολύ όμορφη μέρα ο ουρανός παραμένει πολύ απειλητικός όμως δεν ξέρω τι αύριο θα φέρει medicane ianos mediterranianhurricane cyclades greece tinos rain pouring skyporn cloudporn scary catsofinstagram catstagram catlovers tabby straycats kittens myterrace myverandah myterraceview keramoti triandaros pergola turquoise",0,"TN",0
5815,"tweet4134","X",0,"2020-09-22 15:35:04","@Marka149133376 Έχουν μπει ειδικοί να δουν πόσες ζημιές έχουν ώστε να βγει ο αριθμός που θα δώσουν στους πληγέντες;
Αν ναι οκ και είναι τόσες οι ζημιές αν όχι 🤡","Marka149133376 Έχουν μπει ειδικοί να δουν πόσες ζημιές έχουν ώστε να βγει ο αριθμός που θα δώσουν στους πληγέντες;Αν ναι οκ και είναι τόσες οι ζημιές αν όχι",,,,"marka149133376 έχουν μπει ειδικοί να δουν πόσες ζημιές έχουν ώστε να βγει ο αριθμός που θα δώσουν στους πληγέντες αν ναι οκ και είναι τόσες οι ζημιές αν όχι",1,"TP",1
3997,"tweet2316","X",0,"2020-09-19 14:50:01","Ο καιρός στον Βόλο αύριο (2020-09-20) https://t.co/V9gID3zRtk","Ο καιρός στον Βόλο αύριο (2020-09-20)",,,,"ο καιρός στον βόλο αύριο 2020 09 20",0,"TN",0
5952,"tweet4271","X",0,"2020-09-22 23:04:41","Καιρός: Έρχονται ξανά βροχές και καταιγίδες - LarissaPress https://t.co/EqFdob4Vgx","Καιρός: Έρχονται ξανά βροχές και καταιγίδες - LarissaPress",,,,"καιρός έρχονται ξανά βροχές και καταιγίδες larissapress",0,"TN",0
5533,"tweet3852","X",0,"2020-09-21 23:52:05","Δημοψήφισμα στην Ιταλία: Οικονομικά οφέλη και πολιτικές ζημίες https://t.co/u7Ie3AvQkD","Δημοψήφισμα στην Ιταλία: Οικονομικά οφέλη και πολιτικές ζημίες",,,,"δημοψήφισμα στην ιταλία οικονομικά οφέλη και πολιτικές ζημίες",0,"TN",0
2864,"tweet1183","X",0,"2020-09-18 11:47:01","Ianos ha raggiunto è Uragano mediterraneo. L’impatto in Grecia -  #Ianos #raggiunto #Uragano  https://t.co/H8HQHM9mqS","Ο Ιάνος έχει φτάσει είναι ο Μεσογενής τυφώνας. Ο αντίκτυπος στην Ελλάδα - #ianos #ravitito #uragano",,,,"ο ιάνος έχει φτάσει είναι ο μεσογενής τυφώνας ο αντίκτυπος στην ελλάδα ianos ravitito uragano",0,"TN",0
4118,"tweet2437","X",0,"2020-09-19 17:48:45","Πρωί μπουφάν, μετά μπλουζακι, μεσημέρι μένεις με το τιποτα, αυτό δεν είναι καιρός, εμμηνόπαυση είναι","Πρωί μπουφάν, μετά μπλουζακι, μεσημέρι μένεις με το τιποτα, αυτό δεν είναι καιρός, εμμηνόπαυση είναι",,,,"πρωί μπουφάν μετά μπλουζακι μεσημέρι μένεις με το τιποτα αυτό δεν είναι καιρός εμμηνόπαυση είναι",0,"TN",0
7643,"YouTube286","YouTube",,"2020-09-17T09:55:38Z","Υπουργείο Πολιτικής Προστασίας | Συναγερμός ενόψει της έλευσης της κακοκαιρίας &quot;ΙΑΝΟΣ&quot;| 17/09/20|ΕΡΤ Subscribe στην ΕΡΤ: http://bit.ly/ERTYT Official Site: http://www.ert.gr/ Facebook: https://www.facebook.com/ERTsocial/ Twitter: ...","Υπουργείο Πολιτικής Προστασίας | Συναγερμός ενόψει της έλευσης της κακοκαιρίας &quot;ΙΑΝΟΣ&quot;| 17/09/20|ΕΡΤ Subscribe στην ΕΡΤ: Official Site: Facebook: Twitter:.","FzrdjRtEtIA",1,"na","υπουργείο πολιτικής προστασίας συναγερμός ενόψει της έλευσης της κακοκαιρίας quot ιανος quot 17 09 20 ερτ subscribe στην ερτ official site facebook twitter",0,"FP",1
8634,"YouTube1277","YouTube",,"2020-09-25T06:50:34Z","Δείτε περισσότερα στο https://www.skaitv.gr/episode/enimerosi/simera/2020-09-25-06 Ό,τι συμβαίνει την ώρα που συμβαίνει σε ... Η Άγκυρα στοχεύει στην αποστρατικοποίηση των ελληνικών νησιών | Σήμερα | 25/09/2020","Δείτε περισσότερα στο Ό,τι συμβαίνει την ώρα που συμβαίνει σε. Η Άγκυρα στοχεύει στην αποστρατικοποίηση των ελληνικών νησιών | Σήμερα | 25/09/2020","mHHhdnEbrak",1,"na","δείτε περισσότερα στο ό τι συμβαίνει την ώρα που συμβαίνει σε η άγκυρα στοχεύει στην αποστρατικοποίηση των ελληνικών νησιών σήμερα 25 09 2020",0,"TN",0
2720,"tweet1039","X",0,"2020-09-18 10:05:56","https://t.co/TwLznMCdaQ: Ο καιρός στην Πιερία - Παρασκευή 18 Σεπτεμβρίου https://t.co/B0ctdqGZHC https://t.co/BKG5mxUKLT","Ο καιρός στην Πιερία - Παρασκευή 18 Σεπτεμβρίου",,,,"ο καιρός στην πιερία παρασκευή 18 σεπτεμβρίου",0,"TN",0
4847,"tweet3166","X",0,"2020-09-20 17:57:19","Vou te contar, o καιρός da minha vida é bem zoado.","Θα σας πω, η Κοιρό της Ζωής μου είναι καλά αστείο.",,,,"θα σας πω η κοιρό της ζωής μου είναι καλά αστείο",0,"TN",0
6097,"tweet4416","X",0,"2020-09-23 08:32:02","Καιρός Τετάρτης: Βροχές στα δυτικά, ηλιοφάνεια στην υπόλοιπη χώρα https://t.co/3xXGAALwWR","Καιρός Τετάρτης: Βροχές στα δυτικά, ηλιοφάνεια στην υπόλοιπη χώρα",,,,"καιρός τετάρτης βροχές στα δυτικά ηλιοφάνεια στην υπόλοιπη χώρα",0,"TN",0
7806,"YouTube449","YouTube",,"2020-09-17T13:25:37Z","Σε κατάσταση «ειδικής κινητοποίησης πολιτικής προστασίας» 8 νομοί λόγω του «Ιανού» | 17/09/20 | ΕΡΤ Subscribe στην ΕΡΤ: http://bit.ly/ERTYT Σε κατάσταση «ειδικής κινητοποίησης πολιτικής προστασίας» κηρύσσονται οι νομοί Ηλείας ...","Σε κατάσταση «ειδικής κινητοποίησης πολιτικής προστασίας» 8 νομοί λόγω του «Ιανού» | 17/09/20 | ΕΡΤ Subscribe στην ΕΡΤ: Σε κατάσταση «ειδικής κινητοποίησης πολιτικής προστασίας» κηρύσσονται οι νομοί Ηλείας.","lqf1HQIY_v8",1,"na","σε κατάσταση ειδικής κινητοποίησης πολιτικής προστασίας 8 νομοί λόγω του ιανού 17 09 20 ερτ subscribe στην ερτ σε κατάσταση ειδικής κινητοποίησης πολιτικής προστασίας κηρύσσονται οι νομοί ηλείας",0,"FP",1
1206,"''2401707121784903565","instagram",1600525821,"2020-09-19 14:30:21","Is it over yet? Can we go back to a normal September mode?\n\n#ianos #cats #gingers #Q #sarif","Έχει τελειώσει ακόμα; Μπορούμε να επιστρέψουμε σε μια κανονική λειτουργία Σεπτεμβρίου;",,,"119656930_740352826815637_4309311823017754154_n.jpg","έχει τελειώσει ακόμα μπορούμε να επιστρέψουμε σε μια κανονική λειτουργία σεπτεμβρίου",0,"TN",0
1809,"tweet128","X",0,"2020-09-16 18:16:03","Ρε Κούλη, τι θα γίνει επιτέλους?? Μεσογειακό Κυκλώνα Σεπτέμβρη μήνα??? Ούτε τον πρώτο χρόνο διακυβέρνησης σου δε θα βγάλουμε? #Ιανος #μεσογειακοσκυκλωνας #Ianos","Ρε Κούλη, τι θα γίνει επιτέλους?? Μεσογειακό Κυκλώνα Σεπτέμβρη μήνα??? Ούτε τον πρώτο χρόνο διακυβέρνησης σου δε θα βγάλουμε? #Ιανος #μεσογειακοσκυκλωνας #Ianos",,,,"ρε κούλη τι θα γίνει επιτέλους μεσογειακό κυκλώνα σεπτέμβρη μήνα ούτε τον πρώτο χρόνο διακυβέρνησης σου δε θα βγάλουμε ιανος μεσογειακοσκυκλωνας ianos",0,"TN",0
4740,"tweet3059","X",0,"2020-09-20 15:11:09","Υπ. Ναυτιλίας: Βυθίσεις, προσαράξεις και υλικές ζημιές σε σκάφη λόγω των δυσμενών καιρικών συνθηκών στην Κεφαλληνία","Υπ. Ναυτιλίας: Βυθίσεις, προσαράξεις και υλικές ζημιές σε σκάφη λόγω των δυσμενών καιρικών συνθηκών στην Κεφαλληνία",,,,"υπ ναυτιλίας βυθίσεις προσαράξεις και υλικές ζημιές σε σκάφη λόγω των δυσμενών καιρικών συνθηκών στην κεφαλληνία",1,"TP",1
4070,"tweet2389","X",0,"2020-09-19 16:35:01","@CZachariadis Καιρός να αντιγράψετε λίγο από το ήθος του!","CZachariadis Καιρός να αντιγράψετε λίγο από το ήθος του!",,,,"czachariadis καιρός να αντιγράψετε λίγο από το ήθος του",0,"TN",0
4527,"tweet2846","X",0,"2020-09-20 10:32:40","Πλημμύρισε το Ηράκλειο – Προκλήθηκαν ζημιές και προβλήματα στην ηλεκτροδότηση – Newsbeast https://t.co/nRRCyUUYvc","Πλημμύρισε το Ηράκλειο – Προκλήθηκαν ζημιές και προβλήματα στην ηλεκτροδότηση – Newsbeast",,,,"πλημμύρισε το ηράκλειο προκλήθηκαν ζημιές και προβλήματα στην ηλεκτροδότηση newsbeast",1,"TP",1
2465,"tweet784","X",0,"2020-09-17 23:23:03","⚠️⚠️Ojo porque @metoffice sí se ha mojado y catalogaba a #Ianos como tormenta tropical durante esta tarde, alcanzando el máximo de intensidad esta noche con una presión mínima de 982 hPa y vientos sostenidos de 59 kt (110 km/h) https://t.co/qpYNpKr4Dw","Eye επειδή @metoffice ήταν υγρό και καταλογογραφημένο #IANOS ως τροπική καταιγίδα κατά τη διάρκεια σήμερα το απόγευμα, φτάνοντας στη μέγιστη ένταση απόψε με ελάχιστη πίεση 982 hPa και παρατεταμένους ανέμους 59 kt (110 km/h)",,,,"eye επειδή metoffice ήταν υγρό και καταλογογραφημένο ianos ως τροπική καταιγίδα κατά τη διάρκεια σήμερα το απόγευμα φτάνοντας στη μέγιστη ένταση απόψε με ελάχιστη πίεση 982 hpa και παρατεταμένους ανέμους 59 kt 110 km h",0,"TN",0
1304,"''2401132250899247497","instagram",1600457291,"2020-09-18 19:28:11","#tweetawards #ianos","#tweetawards #ianos",,,"119645864_646621749619795_9071238080334883658_n.jpg","tweetawards ianos",0,"TN",0
5103,"tweet3422","X",0,"2020-09-21 07:54:04","Ζημιές καταγράφονται στην παραγωγή μήλων σε Δράκεια και Ζαγορά https://t.co/HbxnJ37mvD","Ζημιές καταγράφονται στην παραγωγή μήλων σε Δράκεια και Ζαγορά",,,,"ζημιές καταγράφονται στην παραγωγή μήλων σε δράκεια και ζαγορά",1,"TP",1
3920,"tweet2239","X",0,"2020-09-19 12:53:31","@The_Georgios Κι όμως, έχει πάρα πολύ μεγάλες ζημιές. Κόπηκε η παραλιακή προς Φισκάρδο, έπεσε γέφυρα, κατολισθήσεις παντού, Η Παλική έχει πληγεί σφοδρά.","The_Georgios Κι όμως, έχει πάρα πολύ μεγάλες ζημιές. Κόπηκε η παραλιακή προς Φισκάρδο, έπεσε γέφυρα, κατολισθήσεις παντού, Η Παλική έχει πληγεί σφοδρά.",,,,"the_georgios κι όμως έχει πάρα πολύ μεγάλες ζημιές κόπηκε η παραλιακή προς φισκάρδο έπεσε γέφυρα κατολισθήσεις παντού η παλική έχει πληγεί σφοδρά",1,"TP",1
7103,"Flickr555","Flickr",,"2020-09-23 01:45:27","Medicane Ianos 2020 Mediterranean Hurricane","Medicane Ianos 2020 Μεσογειακός τυφώνας",50373698391,,"50373698391.jpg","medicane ianos 2020 μεσογειακός τυφώνας",0,"TN",0
5326,"tweet3645","X",0,"2020-09-21 14:25:28","Ποια είναι τα κυβερνητικά μέτρα για τους πληγέντες του “Ιανού”. https://t.co/yiJLhf2DBz #Ianos","Ποια είναι τα κυβερνητικά μέτρα για τους πληγέντες του “Ιανού”. #Ianos",,,,"ποια είναι τα κυβερνητικά μέτρα για τους πληγέντες του ιανού ianos",0,"TN",0
3758,"tweet2077","X",0,"2020-09-19 10:24:32","Φάρσαλα: Ανυπολόγιστες οι ζημιές λόγω κακοκαιρίας - Πολλές επιχειρήσεις για απεγκλωβισμούς ανθρώπων https://t.co/NX03R3NWzL https://t.co/44erUmArkf","Φάρσαλα: Ανυπολόγιστες οι ζημιές λόγω κακοκαιρίας - Πολλές επιχειρήσεις για απεγκλωβισμούς ανθρώπων",,,,"φάρσαλα ανυπολόγιστες οι ζημιές λόγω κακοκαιρίας πολλές επιχειρήσεις για απεγκλωβισμούς ανθρώπων",1,"TP",1
1354,"''2400211614508032012","instagram",1600347543,"2020-09-17 12:59:03","Safety first.\nDrinks on Saturday.\n.\n.\n#alobar #be_different #kefalonia #lixouri #ianos #stay_safe","Ασφάλεια Πρώτον. \ Ndrinks το Σάββατο.",,,"119630269_626054031633168_7657873248985404651_n.jpg","ασφάλεια πρώτον ndrinks το σάββατο",0,"TN",0
4376,"tweet2695","X",0,"2020-09-20 05:09:16","Καταστροφές άφησε στη δυτική Ελλάδα ο Μεσογειακός κυκλώνας «Ιανός» που τη νύχτα της Παρασκευής προς Σάββατο κινήθηκε... κακοκαιρία καιρός βροχή Ιανός Πάρος ΔΙΑΒΑΣΤΕ ΕΔΩ &gt;&gt; https://t.co/h24B7vEqXM https://t.co/esrrtsG7JQ","Καταστροφές άφησε στη δυτική Ελλάδα ο Μεσογειακός κυκλώνας «Ιανός» που τη νύχτα της Παρασκευής προς Σάββατο κινήθηκε.κακοκαιρία καιρός βροχή Ιανός Πάρος ΔΙΑΒΑΣΤΕ ΕΔΩ &gt;&gt;",,,,"καταστροφές άφησε στη δυτική ελλάδα ο μεσογειακός κυκλώνας ιανός που τη νύχτα της παρασκευής προς σάββατο κινήθηκε κακοκαιρία καιρός βροχή ιανός πάρος διαβαστε εδω gt gt",1,"TP",1
3381,"tweet1700","X",0,"2020-09-18 20:40:59","@75_lunar 😂 Θα αλλάξει και εκεί ο καιρός σύντομα. Πάντως κι εδώ μη νομίζεις, βρέχει αλλά έχει και κουφοβραση. Είναι πιο ευχάριστα πάντως αν εξαιρέσεις ότι γαζωνουν τα κουνούπια 😤","75_lunar Θα αλλάξει και εκεί ο καιρός σύντομα. Πάντως κι εδώ μη νομίζεις, βρέχει αλλά έχει και κουφοβραση. Είναι πιο ευχάριστα πάντως αν εξαιρέσεις ότι γαζωνουν τα κουνούπια",,,,"75_lunar θα αλλάξει και εκεί ο καιρός σύντομα πάντως κι εδώ μη νομίζεις βρέχει αλλά έχει και κουφοβραση είναι πιο ευχάριστα πάντως αν εξαιρέσεις ότι γαζωνουν τα κουνούπια",0,"TN",0
3672,"tweet1991","X",0,"2020-09-19 09:03:10","Διαβάζω διαβάζω και δεν έχω καταλάβει τι περιμένουμε στην Αθήνα από τον #ΙΑΝΟΣ  #ianos","Διαβάζω διαβάζω και δεν έχω καταλάβει τι περιμένουμε στην Αθήνα από τον #ΙΑΝΟΣ #ianos",,,,"διαβάζω διαβάζω και δεν έχω καταλάβει τι περιμένουμε στην αθήνα από τον ιανος ianos",0,"TN",0
