ID,source_id,source_type,unix_time,date_time,text,translated,photo_video_id,duplicate,photofilename,processed,predicted
6664,Flickr116,Flickr,,2020-09-08 14:10:45,"After rain, a wet bumblebee resting a long time on the sunflower, my balcony.","Μετά τη βροχή, ένα υγρό bumblebee που ξεκουράζεται για πολύ καιρό στο ηλίανθο, το μπαλκόνι μου.",50320166952,,50320166952.jpg,μετά τη βροχή ένα υγρό bumblebee που ξεκουράζεται για πολύ καιρό στο ηλίανθο το μπαλκόνι μου,0
6824,Flickr276,Flickr,,2020-09-07 02:55:17,"Interesting cumulonimbus clouds.
Other view at the same time below...",Ενδιαφέρον cumulonimbus clouds.other View την ίδια στιγμή παρακάτω.,50309435068,,50309435068.jpg,ενδιαφέρον cumulonimbus clouds other view την ίδια στιγμή παρακάτω,0
6749,Flickr201,Flickr,,2020-09-07 15:49:24,Diese aufziehende Regenfront kam dem Darßer Weststrand bedrohlich nahe. Zum Glück ergoss sich das Meiste davon nicht am Strand.,"Αυτό το μέτωπο βροχής ήρθε απειλητικά κοντά στη δυτική παραλία. Ευτυχώς, τα περισσότερα από αυτά δεν έριξαν στην παραλία.",50316497912,,50316497912.jpg,αυτό το μέτωπο βροχής ήρθε απειλητικά κοντά στη δυτική παραλία ευτυχώς τα περισσότερα από αυτά δεν έριξαν στην παραλία,0
5665,tweet3984,X,0.0,2020-09-22 09:03:03,Καιρός: Τοπικές βροχές και καταιγίδες – Σε ποιες περιοχές θα σημειωθούν https://t.co/w6OmNafPtm https://t.co/sGqBB2aI6d,Καιρός: Τοπικές βροχές και καταιγίδες – Σε ποιες περιοχές θα σημειωθούν,,,,καιρός τοπικές βροχές και καταιγίδες σε ποιες περιοχές θα σημειωθούν,0
6554,Flickr6,Flickr,,2020-09-07 18:07:39,"<b><i>Some of my groups and albums</i></b>
<a href=""https://www.flickr.com/photos/imagonos/albums/72157623509107523"">DIES UND DAS - BITS AND PIECES</a>
<a href=""https://www.flickr.com/photos/imagonos/albums/72157668738457086"">STRASSENPHOTOGRAPHIE - STREET PHOTOGRAPHY</a>
<a href=""https://www.flickr.com/photos/imagonos/albums/72157625057271547/"">VINTAGE PHOTOGEAR</a>
<a href=""https://www.flickr.com/groups/carportraits/"">AUTOPORTRAETS - CAR PORTRAITS</a>
<a href=""https://www.flickr.com/photos/imagonos/albums/72157687429867766"">ASPHALT VETERANEN - BLACKTOP VETERANS</a>
<a href=""https://www.flickr.com/groups/3021174@N21/"">OPEL TOTAL</a>
<a href=""https://www.flickr.com/groups/2998895@N24/"">OPEL / VAUXHALL CLASSICS</a>
<a href=""https://www.flickr.com/groups/3466160@N20/"">OPEL RARITIES AND SPECIALS</a>
<a href=""https://www.flickr.com/groups/machineandmoving/"">MASCHINE UND BEWEGUNG - MACHINE AND MOVING</a>
<a href=""https://www.flickr.com/groups/nimmplatz/"">NIMM PLATZ - TAKE A SEAT</a>
<a href=""https://www.flickr.com/groups/one-colour/"">MONOCHROME</a>

TO SEE ONLY IN 30/60 OPTED OUT GROUPS !
NUR IN GRUPPEN OHNE 30/60 RESTRIKTION ZU SEHEN","B> <i> Ορισμένες από τις ομάδες και τα άλμπουμ μου "" - Street Photography  πορτρέτα αυτοκινήτου  ""βετεράνοι - blacktop βετεράνοι  Total  κλασικά  ""Σπανιότητες και ειδικές προσφορές  und bewegung - Μηχανή και μετακίνηση  Μόνο σε 30/60 επέλεξε ομάδες!",50316803911,,50316803911.jpg,b i ορισμένες από τις ομάδες και τα άλμπουμ μου street photography πορτρέτα αυτοκινήτου βετεράνοι blacktop βετεράνοι total κλασικά σπανιότητες και ειδικές προσφορές und bewegung μηχανή και μετακίνηση μόνο σε 30 60 επέλεξε ομάδες,0
4778,tweet3097,X,0.0,2020-09-20 16:06:34,Σημαντικές ζημιές στη Γαύδο λόγω του Ιανού https://t.co/0uMk2HLmQN https://t.co/BFdmBM3vvi,Σημαντικές ζημιές στη Γαύδο λόγω του Ιανού,,,,σημαντικές ζημιές στη γαύδο λόγω του ιανού,1
3806,tweet2125,X,0.0,2020-09-19 11:01:58,Αργοστόλι: Ζημιές στον Πόντε και αλλού (pics) https://t.co/OvcbYxas3u via @Kefalonia Magazine,Αργοστόλι: Ζημιές στον Πόντε και αλλού (pics) via @Kefalonia Magazine,,,,αργοστόλι ζημιές στον πόντε και αλλού pics via kefalonia magazine,1
8974,YouTube1617,YouTube,,2020-09-17T18:31:29Z, 17.09.20 Δήλωση Ν.Χαρδαλιά για επιχειρησιακή ετοιμότητα Πολ.Προστασίας ενόψει της κακοκαιρίας Ιανός, 17.09.20 Δήλωση Ν.Χαρδαλιά για επιχειρησιακή ετοιμότητα Πολ.Προστασίας ενόψει της κακοκαιρίας Ιανός,zjQCZOTfbzA,1.0,na,17 09 20 δήλωση ν χαρδαλιά για επιχειρησιακή ετοιμότητα πολ προστασίας ενόψει της κακοκαιρίας ιανός,0
2123,tweet442,X,0.0,2020-09-17 15:53:03,Dejo por aquí un par de tweets con animaciones de las pasadas 24h de vida del ciclón tropical o medicane (de Mediterranean Hurricane) #Ianos a guardar para la posteridad https://t.co/x2paLrB64X,Αφήνω εδώ μερικά tweets με κινούμενα σχέδια της τελευταίας 24ωσης του τροπικού ή ιατρικού κυκλώνα (από τον μεσογειακό τυφώνα) #IANO,,,,αφήνω εδώ μερικά tweets με κινούμενα σχέδια της τελευταίας 24ωσης του τροπικού ή ιατρικού κυκλώνα από τον μεσογειακό τυφώνα iano,0
7171,Flickr623,Flickr,,2020-10-11 13:28:58,OLYMPUS DIGITAL CAMERA,Digital Camera Olympus,50450974872,,50450974872.jpg,digital camera olympus,0
1995,tweet314,X,0.0,2020-09-17 11:22:00,"Aquest és el recorregut que pot fer #Ianos, amb les ventades i pluges que pot deixar. https://t.co/wxiNDQfjU3","Αυτή είναι η διαδρομή που μπορεί να πάρει #IANOS, με τους ανέμους και τις βροχές που μπορείτε να φύγετε.",,,,αυτή είναι η διαδρομή που μπορεί να πάρει ianos με τους ανέμους και τις βροχές που μπορείτε να φύγετε,0
3866,tweet2185,X,0.0,2020-09-19 12:04:17,"Ότι  νάναι ........................ !!
#Ianos #ΙΑΝΟΣ #Ιανός",Ότι νάναι.!!#Ianos #ΙΑΝΟΣ #Ιανός,,,,ότι νάναι ianos ιανος ιανός,0
6581,Flickr33,Flickr,,2020-09-08 09:37:43,"© Sigmund Løland. All Rights Reserved.

This mural measures a full 400 square meters and the street artist &quot;M.u.M.&quot; spent 17 days completing it, back in 2017. The image depicts an old lady with a cat-like appearance, which meditates and are concerned about the growing extinction of bees, on which we all depend, every day.

Please press Z for Big.","Sigmund Løland. Όλα τα δικαιώματα διατηρούνται. Αυτή η τοιχογραφία μετρά ένα πλήρες 400 τετραγωνικά μέτρα και τον καλλιτέχνη του δρόμου ""M.U.M."" που πέρασε 17 ημέρες την ολοκλήρωσή της, το 2017. Η εικόνα απεικονίζει μια ηλικιωμένη κυρία με μια εμφάνιση που μοιάζει με γάτα, η οποία διαλογίζεται και ανησυχεί για την αυξανόμενη εξαφάνιση των μελισσών, από την οποία όλοι εξαρτώνται, κάθε μέρα.",50318557383,,50318557383.jpg,sigmund løland όλα τα δικαιώματα διατηρούνται αυτή η τοιχογραφία μετρά ένα πλήρες 400 τετραγωνικά μέτρα και τον καλλιτέχνη του δρόμου m u m που πέρασε 17 ημέρες την ολοκλήρωσή της το 2017 η εικόνα απεικονίζει μια ηλικιωμένη κυρία με μια εμφάνιση που μοιάζει με γάτα η οποία διαλογίζεται και ανησυχεί για την αυξανόμενη εξαφάνιση των μελισσών από την οποία όλοι εξαρτώνται κάθε μέρα,0
1387,''2400387273773761045,instagram,1600368483.0,2020-09-17 18:48:03,Mani before the storm 💅🏻🌪#manicure #ianos #storm #levernis #welovecoco #chanel #nudenails #nude #chicness #instanails #instamanicure #manitime #nailsofinstagram,Mani πριν από την καταιγίδα #Manicure #IANOS #storm #levernis #WeloveCoco #Chanel #Nudenails #Nude #Chicness #instanails #instamanicure #Manitime #NailsOfInstagram,,,119608460_797405167758359_4964604555266662193_n.jpg,mani πριν από την καταιγίδα manicure ianos storm levernis welovecoco chanel nudenails nude chicness instanails instamanicure manitime nailsofinstagram,0
4473,tweet2792,X,0.0,2020-09-20 09:29:32,Καιρός: Καταιγίδες στην Κρήτη – Αίθριος στην υπόλοιπη χώρα https://t.co/mPMLVgF7eE #tanea365 #news #greece #world #europe #greece,Καιρός: Καταιγίδες στην Κρήτη – Αίθριος στην υπόλοιπη χώρα #tanea365 #news #greece #world #europe #greece,,,,καιρός καταιγίδες στην κρήτη αίθριος στην υπόλοιπη χώρα tanea365 news greece world europe greece,0
3708,tweet2027,X,0.0,2020-09-19 09:42:13,Σαν να να χάλασε ο καιρός λίγο... #ΙΑΝΟΣ,Σαν να να χάλασε ο καιρός λίγο.#ΙΑΝΟΣ,,,,σαν να να χάλασε ο καιρός λίγο ιανος,0
1186,''2400894064361195671,instagram,1600428897.0,2020-09-18 11:34:57,#medicane #ianos verpest de boel #wezittenhierveilighoor #alleengeenzon ☁️,#Medicane #IANOS κατέστρεψε το μέρος #wezittenveilighoor #alleengezon,,,119668635_183093093328337_7081380414287694294_n.jpg,medicane ianos κατέστρεψε το μέρος wezittenveilighoor alleengezon,0
6989,Flickr441,Flickr,,2020-09-23 02:42:54,Medicane Ianos 2020 Mediterranean Hurricane,Medicane Ianos 2020 Μεσογειακός τυφώνας,50374003402,,50374003402.jpg,medicane ianos 2020 μεσογειακός τυφώνας,0
2125,tweet444,X,0.0,2020-09-17 15:53:19,"Medicane #Ianos (#Cassilda, #Janus, #Udine)
Follow my lists for more news:
GREECE https://t.co/b8OuFob3uN
WEATHER https://t.co/nPeMBfdTPL 
*Web: Can't see a list? Refresh the page.
*Mobile &amp; Tweetdeck: Click lists on web instead.","Medicane #IANOS (#Cassilda, #Janus, #Udine) Ακολουθήστε τις λίστες μου για περισσότερες ειδήσεις: Ελλάδα *Web: Δεν μπορείτε να δείτε μια λίστα; Ανανέωση της σελίδας.*Mobile & amp; TweetDeck: Κάντε κλικ στην επιλογή Λίστες στο διαδίκτυο.",,,,medicane ianos cassilda janus udine ακολουθήστε τις λίστες μου για περισσότερες ειδήσεις ελλάδα web δεν μπορείτε να δείτε μια λίστα ανανέωση της σελίδας mobile amp tweetdeck κάντε κλικ στην επιλογή λίστες στο διαδίκτυο,0
3919,tweet2238,X,0.0,2020-09-19 12:53:07,@babuba_ καιρός.,babuba_ καιρός.,,,,babuba_ καιρός,0
6450,tweet4769,X,0.0,2020-09-23 21:09:36,Καιρός αύριο Πέμπτη: Οι περιοχές που θα σημειωθούν έντονα καιρικά φαινόμενα https://t.co/fBsDKuFWVI,Καιρός αύριο Πέμπτη: Οι περιοχές που θα σημειωθούν έντονα καιρικά φαινόμενα,,,,καιρός αύριο πέμπτη οι περιοχές που θα σημειωθούν έντονα καιρικά φαινόμενα,0
8437,YouTube1080,YouTube,,2020-09-21T13:18:43Z,"1.Dangerous situation unfolding in Cévennes, Southern France 60 mm of rain has fallen in last few hours at nearby weather ... Cyclone &quot;Ianos&quot; | Severe Floods hits South France","1. Η παθιασμένη κατάσταση που ξεδιπλώνεται στο Cévennes, στη νότια Γαλλία, 60 mm βροχής, έχει πέσει τις τελευταίες ώρες σε κοντινές καιρικές συνθήκες. Cyclone ""Ianos"" | Οι σοβαρές πλημμύρες χτυπούν τη νότια Γαλλία",F6ENH0c3hqo,1.0,na,1 η παθιασμένη κατάσταση που ξεδιπλώνεται στο cévennes στη νότια γαλλία 60 mm βροχής έχει πέσει τις τελευταίες ώρες σε κοντινές καιρικές συνθήκες cyclone ianos οι σοβαρές πλημμύρες χτυπούν τη νότια γαλλία,1
700,''2401420702218658330,instagram,1600491677.0,2020-09-19 05:01:17,"Μια πραγματικότητα, πέρα από το σουρεαλισμό ...\n Τι έχει σήμερα το menu ;;;;;; Τυφώνα λέει... κ μια χώρα που προσπαθεί να κολυμπήσει κυριολεκτικά κ μεταφορικά.\n Χωρίς μπρατσάκια, χωρίς βατραχοπέδιλα, χωρίς κουράγιο!\nΕυχή μου όλο αυτό να τελειώσει γρήγορα με τις μικρότερες δυνατές απώλειες  σε όλα τα μέρη που δοκιμάζονται.\n Η καρδιά μου όμως σήμερα χτυπάει πιο δυνατά στην Καρδίτσα που ...τράβηξε το μεγαλύτερο κουπί !!!\n Είναι ο τόπος καταγωγής μου,  φωλιά παιδικών αναμνήσεων, εφηβικών σκιρτημάτων κ γεμάτος από άρωμα αγαπημένων...\n{Οι ράγες του τραίνου κ οι σιδηροδρομικοί σταθμοί που αγαπώ, έχουν σημειολογία... κ η φωτό είναι από μια μέρα με πολύ φωτεινό... ουρανί ουρανό )\n\n#ianos #ianoscyclone #waitingforthesun","Μια πραγματικότητα, πέρα από το σουρεαλισμό.\n Τι έχει σήμερα το menu ;;;;;; Τυφώνα λέει.κ μια χώρα που προσπαθεί να κολυμπήσει κυριολεκτικά κ μεταφορικά.\n Χωρίς μπρατσάκια, χωρίς βατραχοπέδιλα, χωρίς κουράγιο!\nΕυχή μου όλο αυτό να τελειώσει γρήγορα με τις μικρότερες δυνατές απώλειες σε όλα τα μέρη που δοκιμάζονται.\n Η καρδιά μου όμως σήμερα χτυπάει πιο δυνατά στην Καρδίτσα που.τράβηξε το μεγαλύτερο κουπί !!!\n Είναι ο τόπος καταγωγής μου, φωλιά παιδικών αναμνήσεων, εφηβικών σκιρτημάτων κ γεμάτος από άρωμα αγαπημένων.\n{Οι ράγες του τραίνου κ οι σιδηροδρομικοί σταθμοί που αγαπώ, έχουν σημειολογία.κ η φωτό είναι από μια μέρα με πολύ φωτεινό.ουρανί ουρανό )\n\n#ianos #ianoscyclone #waitingforthesun",,,119748914_779283596181342_1721174467977801035_n.jpg,μια πραγματικότητα πέρα από το σουρεαλισμό n τι έχει σήμερα το menu τυφώνα λέει κ μια χώρα που προσπαθεί να κολυμπήσει κυριολεκτικά κ μεταφορικά n χωρίς μπρατσάκια χωρίς βατραχοπέδιλα χωρίς κουράγιο nευχή μου όλο αυτό να τελειώσει γρήγορα με τις μικρότερες δυνατές απώλειες σε όλα τα μέρη που δοκιμάζονται n η καρδιά μου όμως σήμερα χτυπάει πιο δυνατά στην καρδίτσα που τράβηξε το μεγαλύτερο κουπί n είναι ο τόπος καταγωγής μου φωλιά παιδικών αναμνήσεων εφηβικών σκιρτημάτων κ γεμάτος από άρωμα αγαπημένων n οι ράγες του τραίνου κ οι σιδηροδρομικοί σταθμοί που αγαπώ έχουν σημειολογία κ η φωτό είναι από μια μέρα με πολύ φωτεινό ουρανί ουρανό n n ianos ianoscyclone waitingforthesun,0
5230,tweet3549,X,0.0,2020-09-21 11:13:57,Check out Georgina's video! #TikTok #Ianos #Kefalonia #samibeachhotel #Greece  https://t.co/Ddf9kmSphQ,Δείτε το βίντεο της Georgina! #Tiktok #ianos #kefalonia #samibeachhotel #greece,,,,δείτε το βίντεο της georgina tiktok ianos kefalonia samibeachhotel greece,0
7299,Flickr751,Flickr,,2020-09-19 17:23:43,"The view over farmland in the rain from the sitting room of our rented converted barn.  Only here for a week.  The weather's not looking that great!

366/255 - Year 8 Photo 2811",Η θέα στη γεωργική γη στη βροχή από το καθιστικό του ενοικιαζόμενου αχυρώνα μας. Μόνο εδώ για μια εβδομάδα. Ο καιρός δεν φαίνεται τόσο υπέροχος! 366/255 - Έτος 8 Φωτογραφία 2811,50360268652,,50360268652.jpg,η θέα στη γεωργική γη στη βροχή από το καθιστικό του ενοικιαζόμενου αχυρώνα μας μόνο εδώ για μια εβδομάδα ο καιρός δεν φαίνεται τόσο υπέροχος 366 255 έτος 8 φωτογραφία 2811,0
7723,YouTube366,YouTube,,2020-09-18T03:45:06Z,Καιρός 18/09/2020: Σε πλήρη εξέλιξη ο μεσογειακός κυκλώνας Ιανός | Ώρα Ελλάδος | OPEN TV Subscribe to OPEN: http://bit.ly/2uV7vyj Καιρός 18/09/2020: Σε πλήρη εξέλιξη ο μεσογειακός κυκλώνας Ιανός | Ώρα Ελλάδος ...,Καιρός 18/09/2020: Σε πλήρη εξέλιξη ο μεσογειακός κυκλώνας Ιανός | Ώρα Ελλάδος | OPEN TV Subscribe to OPEN: Καιρός 18/09/2020: Σε πλήρη εξέλιξη ο μεσογειακός κυκλώνας Ιανός | Ώρα Ελλάδος.,Is1C6gpoRm4,1.0,na,καιρός 18 09 2020 σε πλήρη εξέλιξη ο μεσογειακός κυκλώνας ιανός ώρα ελλάδος open tv subscribe to open καιρός 18 09 2020 σε πλήρη εξέλιξη ο μεσογειακός κυκλώνας ιανός ώρα ελλάδος,0
917,''2400912193905205469,instagram,1600431058.0,2020-09-18 12:10:58,Waiting for  the 🌀🌪🌀 \n#ianos #storm \n #global_stars #bns_greece #team_greece #igers #ig_greece #love_greece #loves_greece_ #visitgreece #travelphotography #tv_europe #tranfer_visions #travelgram #greek_perfection #greece_all #greecestagram #great_street_photos #gf_greece #greece #greece_uncovered #greece_travel #greece_united #greece🇬🇷 #bns_nature #bns_seabeach #super_greece #visitgreece #greek_perfection #gf_greece #greece_uncovered #greecelover_gr #greece_all #great_captures_greece #kings_greece,Αναμονή για το \ n #anos #storm \ n #global_stars #bns_greece #team_greece #igers #ig_greece #love_greece #loves_greece_ # great_street_photos #GF_GREECE #GREECE #GREECE_UNCOVERED # Ελκύη_travel #greece_united #greece #bns_nature #bns_seabeach #super_greece #visitgreece #greek_perfection #gf_greece #greece_uncovered #greecover_greece_greece #greeat_captures_creece #,,,119710267_959699197860128_2057624712062570001_n.jpg,αναμονή για το n anos storm n global_stars bns_greece team_greece igers ig_greece love_greece loves_greece_ great_street_photos gf_greece greece greece_uncovered ελκύη_travel greece_united greece bns_nature bns_seabeach super_greece visitgreece greek_perfection gf_greece greece_uncovered greecover_greece_greece greeat_captures_creece,0
4911,tweet3230,X,0.0,2020-09-20 20:18:42,Μας ενδιαφέρει και θελουμε να ξέρουμε οτι η #εμακ εχει #drone #greece @MegaGegonota @MegaTvOfficial #Ianos #greece #COVID19 #ΔΕΘ2020 https://t.co/qC6FpDYAKz,Μας ενδιαφέρει και θελουμε να ξέρουμε οτι η #εμακ εχει #drone #greece @MegaGegonota @MegaTvOfficial #Ianos #greece #COVID19 #ΔΕΘ2020,,,,μας ενδιαφέρει και θελουμε να ξέρουμε οτι η εμακ εχει drone greece megagegonota megatvofficial ianos greece covid19 δεθ2020,0
4950,tweet3269,X,0.0,2020-09-20 21:54:24,"🎶Αν θες να δεις τα θαύματα να παίρνουνε μορφή
Ράψε όλα σου τα τραύματα μόνος με μιας ψυχής κλωστή

Φεύγει χαμένος ο καιρός
Είναι ο χρόνος ο πιο ύπουλος εχθρός
Πιάσε απ το χέρι τη ζωή
Κι αν το σκοτάδι είναι γύρω σου βαθύ
Ο ήλιος πάλι θα βγει🎶",Αν θες να δεις τα θαύματα να παίρνουνε μορφήΡάψε όλα σου τα τραύματα μόνος με μιας ψυχής κλωστήΦεύγει χαμένος ο καιρόςΕίναι ο χρόνος ο πιο ύπουλος εχθρόςΠιάσε απ το χέρι τη ζωήΚι αν το σκοτάδι είναι γύρω σου βαθύΟ ήλιος πάλι θα βγει,,,,αν θες να δεις τα θαύματα να παίρνουνε μορφήράψε όλα σου τα τραύματα μόνος με μιας ψυχής κλωστήφεύγει χαμένος ο καιρόςείναι ο χρόνος ο πιο ύπουλος εχθρόςπιάσε απ το χέρι τη ζωήκι αν το σκοτάδι είναι γύρω σου βαθύο ήλιος πάλι θα βγει,0
2644,tweet963,X,0.0,2020-09-18 09:15:03,ΕΜΥ Καιρός: Έκτακτο δελτίο για σήμερα Παρασκευή 18 Σεπτεμβρίου https://t.co/WVQkquELQ3,ΕΜΥ Καιρός: Έκτακτο δελτίο για σήμερα Παρασκευή 18 Σεπτεμβρίου,,,,εμυ καιρός έκτακτο δελτίο για σήμερα παρασκευή 18 σεπτεμβρίου,0
3406,tweet1725,X,0.0,2020-09-18 20:59:17,"Ιθάκη: Ανυπολόγιστες ζημιές προκάλεσε ο κυκλώνας ""Ιανός"" - The President https://t.co/lQXngjjMK0","Ιθάκη: Ανυπολόγιστες ζημιές προκάλεσε ο κυκλώνας ""Ιανός"" - The President",,,,ιθάκη ανυπολόγιστες ζημιές προκάλεσε ο κυκλώνας ιανός the president,1
