"ID","source_id","source_type","unix_time","date_time","text","translated","photo_video_id","duplicate","photofilename","processed","predicted","score",,"scored_value"
4418,"tweet2737","X",0,"2020-09-20 08:16:37","κακοκαιρια ιανος  [Κλικ και διαβάστε στο NewsBeast] Βελτιωμένος ο καιρός σε όλη τη χώρα μετά το χτύπημα της κακοκαιρίας Ιανός https://t.co/HyzB2boIPA","κακοκαιρια ιανος [Κλικ και διαβάστε στο NewsBeast] Βελτιωμένος ο καιρός σε όλη τη χώρα μετά το χτύπημα της κακοκαιρίας Ιανός",,,,"κακοκαιρια ιανος κλικ και διαβάστε στο newsbeast βελτιωμένος ο καιρός σε όλη τη χώρα μετά το χτύπημα της κακοκαιρίας ιανός",0,"TN",,0
2648,"tweet967","X",0,"2020-09-18 09:18:48","#ianos #medicane #evrytaniaweather @ Karpenísi, Evritania, Greece https://t.co/aS8kg8kCwk","#ianos #Medicane #Evrytaniaweather @ Karpenísi, Evritania, Ελλάδα",,,,"ianos medicane evrytaniaweather karpenísi evritania ελλάδα",0,"TN",,0
3168,"tweet1487","X",0,"2020-09-18 17:00:07","*HIGH RISK* remains in effect on Friday as #medicane #Ianos is almost stationary along the coast of western Greece. Severe destructive winds, major storm surge, torrential rainfall, and flooding should continue through the afternoon and tonight!

https://t.co/7VHuD0U8dB","Ο υψηλός κίνδυνος* παραμένει σε ισχύ την Παρασκευή, καθώς το #Medicane #IANOS είναι σχεδόν ακίνητο κατά μήκος της ακτής της δυτικής Ελλάδας. Οι σοβαροί καταστροφικοί άνεμοι, η μεγάλη αύξηση των καταιγίδων, οι καταρρακτώδεις βροχοπτώσεις και οι πλημμύρες πρέπει να συνεχιστούν το απόγευμα και απόψε!",,,,"ο υψηλός κίνδυνος παραμένει σε ισχύ την παρασκευή καθώς το medicane ianos είναι σχεδόν ακίνητο κατά μήκος της ακτής της δυτικής ελλάδας οι σοβαροί καταστροφικοί άνεμοι η μεγάλη αύξηση των καταιγίδων οι καταρρακτώδεις βροχοπτώσεις και οι πλημμύρες πρέπει να συνεχιστούν το απόγευμα και απόψε",0,"FP",,1
2828,"tweet1147","X",0,"2020-09-18 11:14:00","🌀 #18settembre ciclone #ianos sulla #Grecia mentre su #puglia e #basilicata il tempo migliora #meteo #medicaneianos https://t.co/DEx76rQyxI","#18 Cyclone #ianos στο #gree ενώ στο #puglia και #basilicata ο χρόνος βελτιώνει #meteo #MedicaneianOS",,,,"18 cyclone ianos στο gree ενώ στο puglia και basilicata ο χρόνος βελτιώνει meteo medicaneianos",0,"TN",,0
4054,"tweet2373","X",0,"2020-09-19 16:08:55","@CorinaVasilopou @panais_koutelos Ιδανικός καιρός σήμερα στην Αθήνα, δροσίτσα, αεράκι για εμάς που δεν αντέχουμε τη ζέστη και το ψύχος 😊","CorinaVasilopou @panais_koutelos Ιδανικός καιρός σήμερα στην Αθήνα, δροσίτσα, αεράκι για εμάς που δεν αντέχουμε τη ζέστη και το ψύχος",,,,"corinavasilopou panais_koutelos ιδανικός καιρός σήμερα στην αθήνα δροσίτσα αεράκι για εμάς που δεν αντέχουμε τη ζέστη και το ψύχος",0,"TN",,0
2310,"tweet629","X",0,"2020-09-17 19:34:09","ΠΡΟΣΟΧΗ. 

125-130km/h άνεμοι τα ξημέρωμα της Παρασκευής !! #MedicaneIanos #Ιανος #ianos #greece #medicane #sos #kefalonia #zakynthos #ionianisland https://t.co/jfz1kEm6EG","ΠΡΟΣΟΧΗ. 125-130km/h άνεμοι τα ξημέρωμα της Παρασκευής !! #MedicaneIanos #Ιανος #ianos #greece #medicane #sos #kefalonia #zakynthos #ionianisland",,,,"προσοχη 125 130km h άνεμοι τα ξημέρωμα της παρασκευής medicaneianos ιανος ianos greece medicane sos kefalonia zakynthos ionianisland",0,"TN",,0
4074,"tweet2393","X",0,"2020-09-19 16:42:25","Two people have died as a rare storm, known as a #Medicane (Mediterranean hurricane), pounded central #Greece, flooding streets and homes #Ianos https://t.co/ETQcKJi7MS","Δύο άνθρωποι έχουν πεθάνει ως σπάνια καταιγίδα, γνωστή ως #Medicane (μεσογειακός τυφώνας), χτύπησε το κεντρικό #greece, πλημμύρες και σπίτια #ianos",,,,"δύο άνθρωποι έχουν πεθάνει ως σπάνια καταιγίδα γνωστή ως medicane μεσογειακός τυφώνας χτύπησε το κεντρικό greece πλημμύρες και σπίτια ianos",0,"TN",,0
7332,"Flickr784","Flickr",,"2020-10-22 11:53:54","Vushtrri","εθνολογία",50515481923,,"50515481923.jpg","εθνολογία",0,"TN",,0
2785,"tweet1104","X",0,"2020-09-18 10:34:37","⚠️ Medicane #Ianos Yunanistan'ı vurmaya başladı. 🌀🌀 https://t.co/rDbzyvPptk","Η μέση #IANOS άρχισε να πυροβολεί την Ελλάδα.",,,,"η μέση ianos άρχισε να πυροβολεί την ελλάδα",0,"TN",,0
3641,"tweet1960","X",0,"2020-09-19 08:17:37","""Ιανός"": Νεκρή γυναίκα στα Φάρσαλα, δύο αγνοούμενοι στην Καρδίτσα - Μεγάλες ζημιές από την κακοκαιρία - https://t.co/0WODkA5I2y https://t.co/rbvzZSE9dn","Ιανός"": Νεκρή γυναίκα στα Φάρσαλα, δύο αγνοούμενοι στην Καρδίτσα - Μεγάλες ζημιές από την κακοκαιρία -",,,,"ιανός νεκρή γυναίκα στα φάρσαλα δύο αγνοούμενοι στην καρδίτσα μεγάλες ζημιές από την κακοκαιρία",0,"TN",,0
1299,"''2401604161321282772","instagram",1600513547,"2020-09-19 11:05:47","Looking back how peaceful it was 2 weeks ago now is a Hurricane going through the Ionian Sea.  #ianos \n\n#weatherchange #sessonschange \n#sunset #bestsunsets #mygreece #medicane #hurricane","Κοιτάζοντας πίσω πόσο ήσυχο ήταν πριν από 2 εβδομάδες τώρα είναι ένας τυφώνας που περνάει από τη Θάλασσα του Ιωνίου. #ianos \ n \ n #weatherchange #sessonschange \ n #ηλιοβασίλεμα #bestsunsets #mygreece #Medicane #hurricane",,,"119646629_182553676665522_1524629869257820791_n.jpg","κοιτάζοντας πίσω πόσο ήσυχο ήταν πριν από 2 εβδομάδες τώρα είναι ένας τυφώνας που περνάει από τη θάλασσα του ιωνίου ianos n n weatherchange sessonschange n ηλιοβασίλεμα bestsunsets mygreece medicane hurricane",1,"TN",,1
2950,"tweet1269","X",0,"2020-09-18 13:11:30","@amna_newseng Here the forecasted waves for #medicane #Ianos","amna_newseng εδώ τα προβλεπόμενα κύματα για #Medicane #ianos",,,,"amna_newseng εδώ τα προβλεπόμενα κύματα για medicane ianos",0,"TN",,0
5887,"tweet4206","X",0,"2020-09-22 19:34:51","@olgagerovasili Αει χάσου όσο είναι καιρός. Γιατί έχουμε αγριέψει και θα περάσουμε στην αντεπίθεση. Και σίγουρα θα είσαστε οι πρώτοι στους οποίους θα αποδοθούν ευθύνες.","olgagerovasili Αει χάσου όσο είναι καιρός. Γιατί έχουμε αγριέψει και θα περάσουμε στην αντεπίθεση. Και σίγουρα θα είσαστε οι πρώτοι στους οποίους θα αποδοθούν ευθύνες.",,,,"olgagerovasili αει χάσου όσο είναι καιρός γιατί έχουμε αγριέψει και θα περάσουμε στην αντεπίθεση και σίγουρα θα είσαστε οι πρώτοι στους οποίους θα αποδοθούν ευθύνες",0,"TN",,0
2034,"tweet353","X",0,"2020-09-17 13:37:12","Un inusual ciclón se aproxima al sur de Grecia. Le han denominado #Ianos o #Cassilda a este #medicane pero lo importante es que traerá lluvias copiosas de 7-10” y fuertes ráfagas de vientos 50-70 mph en sur Grecia. Lea https://t.co/jsQLwzsUdB Aquí sigan colega @giannopoulosmet https://t.co/ixn8kVMEhI","Ένας ασυνήθιστος κυκλώνας πλησιάζει νότια της Ελλάδας. Έχουν ονομάσει #IANOS ή #Cassilda σε αυτό το #Medicane, αλλά το σημαντικό είναι ότι θα φέρει άφθονες βροχές 7-10 ""και ισχυρούς ανέμους 50-70 mph ανέμους στη Νότια Ελλάδα. Διαβάστε εδώ Colega @giannopoulosmet",,,,"ένας ασυνήθιστος κυκλώνας πλησιάζει νότια της ελλάδας έχουν ονομάσει ianos ή cassilda σε αυτό το medicane αλλά το σημαντικό είναι ότι θα φέρει άφθονες βροχές 7 10 και ισχυρούς ανέμους 50 70 mph ανέμους στη νότια ελλάδα διαβάστε εδώ colega giannopoulosmet",0,"TN",,0
7081,"Flickr533","Flickr",,"2020-09-23 01:45:12","Medicane Ianos 2020 Mediterranean Hurricane","Medicane Ianos 2020 Μεσογειακός τυφώνας",50373872227,,"50373872227.jpg","medicane ianos 2020 μεσογειακός τυφώνας",0,"TN",,0
4538,"tweet2857","X",0,"2020-09-20 10:42:52","Η Κρήτη δεν έζησε τον εφιάλτη από την κακοκαιρία «Ιανός» -Δεν υπάρχουν ζημιές και καταστροφές | ΕΛΛΑΔΑ https://t.co/FtbtP8U73a","Η Κρήτη δεν έζησε τον εφιάλτη από την κακοκαιρία «Ιανός» -Δεν υπάρχουν ζημιές και καταστροφές | ΕΛΛΑΔΑ",,,,"η κρήτη δεν έζησε τον εφιάλτη από την κακοκαιρία ιανός δεν υπάρχουν ζημιές και καταστροφές ελλαδα",0,"TN",,0
3753,"tweet2072","X",0,"2020-09-19 10:20:49","Ο Ιανός έκοψε την σιδηροδρομική σύνδεση Αθήνας-Θεσσαλονίκης *Σοβαρές ζημιές #oikonomia https://t.co/n0wTbsdAmM","Ο Ιανός έκοψε την σιδηροδρομική σύνδεση Αθήνας-Θεσσαλονίκης *Σοβαρές ζημιές #oikonomia",,,,"ο ιανός έκοψε την σιδηροδρομική σύνδεση αθήνας θεσσαλονίκης σοβαρές ζημιές oikonomia",0,"TN",,0
2783,"tweet1102","X",0,"2020-09-18 10:33:06","Η κακοκαιρία Ιανός «βύθισε» την Ιθάκη στο σκοτάδι -Ζημιές στους δρόμους, πλημμύρισαν σπίτια #iefiemerida  https://t.co/9M5S4QrikS","Η κακοκαιρία Ιανός «βύθισε» την Ιθάκη στο σκοτάδι -Ζημιές στους δρόμους, πλημμύρισαν σπίτια #iefiemerida",,,,"η κακοκαιρία ιανός βύθισε την ιθάκη στο σκοτάδι ζημιές στους δρόμους πλημμύρισαν σπίτια iefiemerida",0,"TN",,0
6976,"Flickr428","Flickr",,"2020-09-23 02:42:45","Medicane Ianos 2020 Mediterranean Hurricane","Medicane Ianos 2020 Μεσογειακός τυφώνας",50373844241,,"50373844241.jpg","medicane ianos 2020 μεσογειακός τυφώνας",0,"TN",,0
3520,"tweet1839","X",0,"2020-09-18 23:54:09","Καιρός: Ο «Ιανός» θα χτυπήσει και την Αττική το Σάββατο -Κακοκαιρία σχεδόν σε όλη τη χώρα | ΕΛΛΑΔΑ https://t.co/7ng0MB6h2R","Καιρός: Ο «Ιανός» θα χτυπήσει και την Αττική το Σάββατο -Κακοκαιρία σχεδόν σε όλη τη χώρα | ΕΛΛΑΔΑ",,,,"καιρός ο ιανός θα χτυπήσει και την αττική το σάββατο κακοκαιρία σχεδόν σε όλη τη χώρα ελλαδα",0,"TN",,0
6339,"tweet4658","X",0,"2020-09-23 15:58:32","Τρεις Αντιπεριφερειάρχες στον ΕΛΓΑ για τις ζημιές που υπέστησαν αγρότες από τον «Ιανό» https://t.co/epjEA6wXGe","Τρεις Αντιπεριφερειάρχες στον ΕΛΓΑ για τις ζημιές που υπέστησαν αγρότες από τον «Ιανό»",,,,"τρεις αντιπεριφερειάρχες στον ελγα για τις ζημιές που υπέστησαν αγρότες από τον ιανό",0,"TN",,0
2544,"tweet863","X",0,"2020-09-18 06:29:20","Κακοκαιρία «Ιανός»: Επείγουσα ανακοίνωση του Δήμου Αργοστολίου για τις ζημιές 
https://t.co/15YJ91mp9L","Κακοκαιρία «Ιανός»: Επείγουσα ανακοίνωση του Δήμου Αργοστολίου για τις ζημιές",,,,"κακοκαιρία ιανός επείγουσα ανακοίνωση του δήμου αργοστολίου για τις ζημιές",0,"TN",,0
5264,"tweet3583","X",0,"2020-09-21 12:10:44","@Krouelaki Κανα παιχνίδι να πάρεις... για να βολευεσαι. Δεν είναι καιρός να ξανακυλησεις στην κατάθλιψη...","Krouelaki Κανα παιχνίδι να πάρεις.για να βολευεσαι. Δεν είναι καιρός να ξανακυλησεις στην κατάθλιψη.",,,,"krouelaki κανα παιχνίδι να πάρεις για να βολευεσαι δεν είναι καιρός να ξανακυλησεις στην κατάθλιψη",0,"TN",,0
2191,"tweet510","X",0,"2020-09-17 16:36:35","Μπορείς να το θέσεις και ποιο έξυπνα. Δομές σε νησιά που δεν έχουν ΕΝΦΙΑ @KVelopoulos @PrimeministerGR @AdonisGeorgiadi @ArisPortosalte @bogdanosk #Ianos","Μπορείς να το θέσεις και ποιο έξυπνα. Δομές σε νησιά που δεν έχουν ΕΝΦΙΑ @KVelopoulos @PrimeministerGR @AdonisGeorgiadi @ArisPortosalte @bogdanosk #Ianos",,,,"μπορείς να το θέσεις και ποιο έξυπνα δομές σε νησιά που δεν έχουν ενφια kvelopoulos primeministergr adonisgeorgiadi arisportosalte bogdanosk ianos",0,"TN",,0
2124,"tweet443","X",0,"2020-09-17 15:53:10","Le #medicane #Ianos au sud de l'Italie commence a être impressionnant alors que la convection s'enroule autour de son centre, un oeil a commencé à être visible.
Cette depression hybride au coeur chaud se dirige vers la Grèce #mm https://t.co/TSHaTDTX8E","Το #Medicane #IANOS στα νότια της Ιταλίας αρχίζει να είναι εντυπωσιακή, ενώ η μεταφορά περιτυλίγει γύρω από το κέντρο του, ένα μάτι έχει αρχίσει να είναι ορατό.",,,,"το medicane ianos στα νότια της ιταλίας αρχίζει να είναι εντυπωσιακή ενώ η μεταφορά περιτυλίγει γύρω από το κέντρο του ένα μάτι έχει αρχίσει να είναι ορατό",0,"TN",,0
6765,"Flickr217","Flickr",,"2020-09-07 15:50:11","Entergy’s Hurricane Laura information website provides customers with storm restoration and recovery updates. Visit the site at <a href=""https://entergy.com/hurricanelaura"" rel=""noreferrer nofollow"">entergy.com/hurricanelaura</a>","Η ιστοσελίδα Information Information της Entergy της Entergy παρέχει στους πελάτες ενημερώσεις αποκατάστασης και αποκατάστασης καταιγίδων. Επισκεφθείτε τον ιστότοπο στο hurricanelaura",50316517427,,"50316517427.jpg","η ιστοσελίδα information information της entergy της entergy παρέχει στους πελάτες ενημερώσεις αποκατάστασης και αποκατάστασης καταιγίδων επισκεφθείτε τον ιστότοπο στο hurricanelaura",0,"TN",,0
3162,"tweet1481","X",0,"2020-09-18 16:50:10","#Ianos https://t.co/inKeNZe1KI","#Ianos",,,,"ianos",0,"TN",,0
4955,"tweet3274","X",0,"2020-09-20 22:02:20","@mignatiou Πρώτα κοιτάς τα προβλήματα του οίκου σου καί μετά κοιτάς να λύσεις τα προβλήματα τού γείτονα. Αρκετά με την κατανόησή τους, αλλά παράφωνα σφυρίζουν. Καιρός σύμφωνα με το μάθημά τους να σφυρίζουμε και εμείς με κατανόηση αδιάφορα.....","mignatiou Πρώτα κοιτάς τα προβλήματα του οίκου σου καί μετά κοιτάς να λύσεις τα προβλήματα τού γείτονα. Αρκετά με την κατανόησή τους, αλλά παράφωνα σφυρίζουν. Καιρός σύμφωνα με το μάθημά τους να σφυρίζουμε και εμείς με κατανόηση αδιάφορα.",,,,"mignatiou πρώτα κοιτάς τα προβλήματα του οίκου σου καί μετά κοιτάς να λύσεις τα προβλήματα τού γείτονα αρκετά με την κατανόησή τους αλλά παράφωνα σφυρίζουν καιρός σύμφωνα με το μάθημά τους να σφυρίζουμε και εμείς με κατανόηση αδιάφορα",0,"TN",,0
8335,"YouTube978","YouTube",,"2020-09-19T07:44:57Z"," Θάνος Πλεύρης Mega Κυκλώνας Ιανός - Μέτρα κυβέρνησης για περιορισμό κρουσμάτων κορωνοϊού 19.9.2020"," Θάνος Πλεύρης Mega Κυκλώνας Ιανός - Μέτρα κυβέρνησης για περιορισμό κρουσμάτων κορωνοϊού 19.9.2020","AUSCcO19Ku4",1,"na","θάνος πλεύρης mega κυκλώνας ιανός μέτρα κυβέρνησης για περιορισμό κρουσμάτων κορωνοϊού 19 9 2020",0,"TN",,0
4973,"tweet3292","X",0,"2020-09-20 22:35:55","@yioults1 Καιρός ήταν","yioults1 Καιρός ήταν",,,,"yioults1 καιρός ήταν",0,"TN",,0
862,"''2401745632416096068","instagram",1600530412,"2020-09-19 15:46:52","Do it like a cyclone!! 🌪️\n\n1. Standind rotation hinges 6+6\n2. Helicopter 6+6\n3. Sit ups rotations with candlestick rotation 12\n4. Sit up rolls 12\n5. Hovers knees to elbows 6+6\n\n ⚡2-3 rounds⚡\n\nEngage your CORE people and  MOVE! \n@homo_motus_ath\n\n#core #abs #rotations #workoutroutine\n#bodyweight #routines #ianos #justdoit #motivated #strongcore #engageyourcore\n#weekendroutine #homeworkout\n#homomotus #cyclone #move","Κάνε το σαν κυκλώνας !! \ n \ n1. Σταθμίστε μεντεσέδες περιστροφής 6+6 \ n2. Ελικόπτερο 6+6 \ n3. SIT UPS περιστροφές με περιστροφή κηροπήγησης 12 \ n4. SIT UP ROLLS 12 \ N5. Βοηθά τα γόνατα στους αγκώνες 6+6 \ n \ n 2-3 γύρους \ n \ nengage τους βασικούς σας ανθρώπους και κινούνται! \ n@homo_motus_ath \ n \ n #core #ABS #Rotations #Workoutroutine \ n #bodyweight #routines #ianos #JustDoit #Motivated #StrongCore #Engageyourcore \ n #Σαββατοκύριακο #homewoutert \ n #homomotus #Cyclone #Move",,,"119716037_1214937568842164_278163297731490981_n.jpg","κάνε το σαν κυκλώνας n n1 σταθμίστε μεντεσέδες περιστροφής 6 6 n2 ελικόπτερο 6 6 n3 sit ups περιστροφές με περιστροφή κηροπήγησης 12 n4 sit up rolls 12 n5 βοηθά τα γόνατα στους αγκώνες 6 6 n n 2 3 γύρους n nengage τους βασικούς σας ανθρώπους και κινούνται n homo_motus_ath n n core abs rotations workoutroutine n bodyweight routines ianos justdoit motivated strongcore engageyourcore n σαββατοκύριακο homewoutert n homomotus cyclone move",1,"TP","*TRANSLATE PROPERLY",1
1944,"tweet263","X",0,"2020-09-17 08:51:24","#Υψηλός #Κίνδυνος για τις περιοχές του Ιουνίου Πελάγους. Πλησιάζει ο τυφώνας #Ianos","#Υψηλός #Κίνδυνος για τις περιοχές του Ιουνίου Πελάγους. Πλησιάζει ο τυφώνας #Ianos",,,,"υψηλός κίνδυνος για τις περιοχές του ιουνίου πελάγους πλησιάζει ο τυφώνας ianos",0,"TN",,0
6122,"tweet4441","X",0,"2020-09-23 09:30:22","Ρόδος - Καιρός Σήμερα. Η θερμοκρασία τώρα 25 °C (βαθμούς κελσίου ). Υγρασία 79 % . Ενημέρωση απο το https://t.co/rHz2QaR6zD #ρόδος #καιρός #ΡΟΔΙΑΚΗ #ενημέρωση #ειδησεις","Ρόδος - Καιρός Σήμερα. Η θερμοκρασία τώρα 25 °C (βαθμούς κελσίου ). Υγρασία 79 % . Ενημέρωση απο το #ρόδος #καιρός #ΡΟΔΙΑΚΗ #ενημέρωση #ειδησεις",,,,"ρόδος καιρός σήμερα η θερμοκρασία τώρα 25 c βαθμούς κελσίου υγρασία 79 ενημέρωση απο το ρόδος καιρός ροδιακη ενημέρωση ειδησεις",0,"TN",,0
575,"''2401546044874901842","instagram",1600506619,"2020-09-19 09:10:19","##Ianos#gone#Ηρεμία#Πάρος","##Ianos#gone#Ηρεμία#Πάρος",,,"119796269_2744170412528569_6275111079091202427_n.jpg","ianos gone ηρεμία πάρος",0,"TN",,0
2075,"tweet394","X",0,"2020-09-17 14:53:09","Ελλάδα 17-09-20
🌀🇬🇷
 #Ianos https://t.co/eFPYYrOS0M","Ελλάδα 17-09-20 #Ianos",,,,"ελλάδα 17 09 20 ianos",0,"TN",,0
1995,"tweet314","X",0,"2020-09-17 11:22:00","Aquest és el recorregut que pot fer #Ianos, amb les ventades i pluges que pot deixar. https://t.co/wxiNDQfjU3","Αυτή είναι η διαδρομή που μπορεί να πάρει #IANOS, με τους ανέμους και τις βροχές που μπορείτε να φύγετε.",,,,"αυτή είναι η διαδρομή που μπορεί να πάρει ianos με τους ανέμους και τις βροχές που μπορείτε να φύγετε",0,"TN",,0
1656,"''2398670070829286601","instagram",1600163810,"2020-09-15 09:56:50","Espalha a mensagem, não o vírus! Usa a máscara como AS ONE e a sua mãe. Mostra-nos a tua cara com a máscara.\n#usamascarapormin\n#IANOS\n@as_one_1820","Διαδώστε το μήνυμα, όχι τον ιό! Φορέστε τη μάσκα όπως αυτή και η μητέρα σας. Δείξτε μας το πρόσωπό σας με τη μάσκα.",,,"119222562_355865585780285_5584316324569231660_n.jpg","διαδώστε το μήνυμα όχι τον ιό φορέστε τη μάσκα όπως αυτή και η μητέρα σας δείξτε μας το πρόσωπό σας με τη μάσκα",0,"TN",,0
2580,"tweet899","X",0,"2020-09-18 08:17:57","Grecia golpeada por el #medicane #Ianos https://t.co/usZqTmD1MG a través de @MeteoredES","Η Ελλάδα ξυλοκοπήθηκε από #Medicane #IANOS μέσω @MeTeoredes",,,,"η ελλάδα ξυλοκοπήθηκε από medicane ianos μέσω meteoredes",0,"TN",,0
