ID,source_id,source_type,text,translated,photo_video_id,duplicate,photofilename,processed,predicted,SCORE,COMMENT
2268,tweet587,X,"#Grecia 🇬🇷, se prepara para recibir los efectos del #Medicane🌀 #Ianos, uno de los ciclones tropicales mediterráneos más fuertes de los últimos años.

Un #medicane es un fenómeno de por sí extraño, pero uno con estas características puede ocurrir pocas veces cada siglo. https://t.co/pD0r71hNmw","#GRECIA, προετοιμάζεται να λάβει τις επιπτώσεις του #Medicane #IANOS, ενός από τους ισχυρότερους μεσογειακούς τροπικούς κυκλώνες τα τελευταία χρόνια.",,,,grecia προετοιμάζεται να λάβει τις επιπτώσεις του medicane ianos ενός από τους ισχυρότερους μεσογειακούς τροπικούς κυκλώνες τα τελευταία χρόνια,1,TP,
6035,tweet4354,X,"#及川徹 
Mais uma fotinha de Oikawa pq essa foi a minha melhor versão dele💚 https://t.co/tvXZBCt4Sf",#及川徹 Μια άλλη εικόνα oikawa γιατί αυτή ήταν η καλύτερη μου έκδοση του,,,,及川徹 μια άλλη εικόνα oikawa γιατί αυτή ήταν η καλύτερη μου έκδοση του,0,TN,
2670,tweet989,X,During the night the storm in the Mediterranean Sea known as #Ianos came ashore over the Greek island of #Kefalonia. It is now moving over the southwest of the Greek mainland. #medicane https://t.co/47beTW62ru,"Κατά τη διάρκεια της νύχτας, η καταιγίδα στη Μεσόγειο Θάλασσα γνωστή ως #IANOS ήρθε στην ξηρά πάνω από το ελληνικό νησί #Kefalonia. Τώρα κινείται πάνω από τα νοτιοδυτικά της ελληνικής ηπειρωτικής χώρας. #Medicane",,,,κατά τη διάρκεια της νύχτας η καταιγίδα στη μεσόγειο θάλασσα γνωστή ως ianos ήρθε στην ξηρά πάνω από το ελληνικό νησί kefalonia τώρα κινείται πάνω από τα νοτιοδυτικά της ελληνικής ηπειρωτικής χώρας medicane,1,TP,
4707,tweet3026,X,Ο καιρός σήμερα 20/09/2020: https://t.co/QWgAtJjb7V,Ο καιρός σήμερα 20/09/2020:,,,,ο καιρός σήμερα 20 09 2020,0,TN,
6219,tweet4538,X,Ναυμαχία Σαλαμίνας: Επέτειος 2.500 ετών - Σύμμαχος των αρχαίων Ελλήνων ο καιρός https://t.co/bz8yNR9Cef,Ναυμαχία Σαλαμίνας: Επέτειος 2.500 ετών - Σύμμαχος των αρχαίων Ελλήνων ο καιρός,,,,ναυμαχία σαλαμίνας επέτειος 2 500 ετών σύμμαχος των αρχαίων ελλήνων ο καιρός,0,TN,
1277,''2401473606367321907,instagram,Με ΠΑΣΟΚ 20 άτομα ήταν μόνο οι σερβιτόροι στον γάμο ! #greek #weeding #covid_19 #summer #2020 #ianos #funny #quotes #memes #weekend #September #rainy #day,Με ΠΑΣΟΚ 20 άτομα ήταν μόνο οι σερβιτόροι στον γάμο ! #greek #weeding #covid_19 #summer #2020 #ianos #funny #quotes #memes #weekend #September #rainy #day,,,119648560_320308829070327_626385414674191035_n.jpg,με πασοκ 20 άτομα ήταν μόνο οι σερβιτόροι στον γάμο greek weeding covid_19 summer 2020 ianos funny quotes memes weekend september rainy day,0,TN,
7381,YouTube24,YouTube,Κορωνοϊός: 9 θάνατοι – 359 νέα κρούσματα και 69 διασωληνωμένοι | Κεντρικό Δελτίο Ειδήσεων 17/9/2020 Subscribe to OPEN: http://bit.ly/2uV7vyj Δες όλα τα βίντεο εδώ: http://bit.ly/KentrikoDeltio Subscribe to OPEN: http://bit.ly/2uV7vyj ...,Κορωνοϊός: 9 θάνατοι – 359 νέα κρούσματα και 69 διασωληνωμένοι | Κεντρικό Δελτίο Ειδήσεων 17/9/2020 Subscribe to OPEN: Δες όλα τα βίντεο εδώ: Subscribe to OPEN:.,0C_RV3zF3gs,1,na,κορωνοϊός 9 θάνατοι 359 νέα κρούσματα και 69 διασωληνωμένοι κεντρικό δελτίο ειδήσεων 17 9 2020 subscribe to open δες όλα τα βίντεο εδώ subscribe to open,1,FP,
1802,tweet121,X,De acuerdo al Met Office de UK en el Mediterráneo se ha desarrollado con características de tormenta tropical #Ianos el cual afectará el sur de Italia y Grecia como #Medicane,"Σύμφωνα με το γραφείο του Ηνωμένου Βασιλείου στη Μεσόγειο, έχει αναπτυχθεί με χαρακτηριστικά τροπικών καταιγίδων #IANOS που θα επηρεάσουν τη νότια Ιταλία και την Ελλάδα ως #Medicane",,,,σύμφωνα με το γραφείο του ηνωμένου βασιλείου στη μεσόγειο έχει αναπτυχθεί με χαρακτηριστικά τροπικών καταιγίδων ianos που θα επηρεάσουν τη νότια ιταλία και την ελλάδα ως medicane,1,TP,
2716,tweet1035,X,Ν. Χαρδαλιάς για «Ιανό»: Κρίσιμες οι επόμενες 9 ώρες - Υπάρχουν ζημιές αλλά δεν κινδύνευσε κανείς https://t.co/kxRJIQzA7k #rthess,Ν. Χαρδαλιάς για «Ιανό»: Κρίσιμες οι επόμενες 9 ώρες - Υπάρχουν ζημιές αλλά δεν κινδύνευσε κανείς #rthess,,,,ν χαρδαλιάς για ιανό κρίσιμες οι επόμενες 9 ώρες υπάρχουν ζημιές αλλά δεν κινδύνευσε κανείς rthess,1,TP,
3994,tweet2313,X,"@AthanShelby Εδω ειμαστε
Κ δω θα ειμαστε
Ο καιρος θα χαλασει τον Δεκεμβριο
Εχουμε κανει ταμα στον Αγ.Λεμμυ",AthanShelby Εδω ειμαστεΚ δω θα ειμαστεΟ καιρος θα χαλασει τον ΔεκεμβριοΕχουμε κανει ταμα στον Αγ.Λεμμυ,,,,athanshelby εδω ειμαστεκ δω θα ειμαστεο καιρος θα χαλασει τον δεκεμβριοεχουμε κανει ταμα στον αγ λεμμυ,0,TN,
4492,tweet2811,X,- via Καιρός&amp;Pαντάρ https://t.co/RKmBisrVn5,via Καιρός&amp;Pαντάρ,,,,via καιρός amp pαντάρ,0,TN,
4434,tweet2753,X,Καιρός: Καταιγίδες στην Κρήτη – Αίθριος στην υπόλοιπη χώρα https://t.co/SrgiTcvgpw https://t.co/k0Ts06cIrW,Καιρός: Καταιγίδες στην Κρήτη – Αίθριος στην υπόλοιπη χώρα,,,,καιρός καταιγίδες στην κρήτη αίθριος στην υπόλοιπη χώρα,0,TN,
8872,YouTube1515,YouTube,Διαβάστε το άρθρο: https://eforigi.com.gr/news/soc/item/18707-perimenontas-ton-iano-sta-dytika-paralia-tis-messinias ... Περιμένοντας την κακοκαιρία &quot;Ιανός&quot; στη Δυτική Μεσσηνία (Μάραθος),Διαβάστε το άρθρο:. Περιμένοντας την κακοκαιρία &quot;Ιανός&quot; στη Δυτική Μεσσηνία (Μάραθος),VlO7vGjyh0Q,1,na,διαβάστε το άρθρο περιμένοντας την κακοκαιρία quot ιανός quot στη δυτική μεσσηνία μάραθος,1,TP,
2458,tweet777,X,⚠️🇬🇷🌀🇬🇷⚠️New model data suggests an extremely dangerous medicane #Ianos will strike into #Greece on Friday https://t.co/89bh4x3oHn,Τα νέα δεδομένα μοντέλου υποδεικνύουν ότι ένα εξαιρετικά επικίνδυνο Medicane #IANOS θα χτυπήσει σε #Greece την Παρασκευή,,,,τα νέα δεδομένα μοντέλου υποδεικνύουν ότι ένα εξαιρετικά επικίνδυνο medicane ianos θα χτυπήσει σε greece την παρασκευή,1,TP,
1983,tweet302,X,"Ciclone Mediterraneo #Udine (#Ianos) - Tra questa notte e venerdì mattina il #medicane raggiungerà la Grecia
🌀 https://t.co/RZ5IYPkDx0 https://t.co/Q0wZcBQAy3",Cyclone Mediterranean #Udine (#IANOS) - Μεταξύ αυτής της νύχτας και της Παρασκευής το πρωί το #Medicane θα φτάσει στην Ελλάδα,,,,cyclone mediterranean udine ianos μεταξύ αυτής της νύχτας και της παρασκευής το πρωί το medicane θα φτάσει στην ελλάδα,1,TP,
2940,tweet1259,X,Κεφαλονιά: Ζημιές σε ολόκληρο το νησί  και προβλήματα ηλεκτροδότησης προκάλεσε ο “Ιανός” https://t.co/2R47Q0Qukz μέσω @Έμβολος,Κεφαλονιά: Ζημιές σε ολόκληρο το νησί και προβλήματα ηλεκτροδότησης προκάλεσε ο “Ιανός” μέσω @Έμβολος,,,,κεφαλονιά ζημιές σε ολόκληρο το νησί και προβλήματα ηλεκτροδότησης προκάλεσε ο ιανός μέσω έμβολος,1,TP,
5945,tweet4264,X,Νερό και λάσπη ύψους 2 μέτρων: Οι ζημιές στο Αρχαιολογικό Μουσείο Καρδίτσας https://t.co/dSnDaFOzwf,Νερό και λάσπη ύψους 2 μέτρων: Οι ζημιές στο Αρχαιολογικό Μουσείο Καρδίτσας,,,,νερό και λάσπη ύψους 2 μέτρων οι ζημιές στο αρχαιολογικό μουσείο καρδίτσας,1,TP,
2809,tweet1128,X,"@efintaikou Παντού τα ίδια γίνονται, σ´ όλη την Ευρώπη, αλλά είναι καιρός η λύπη να γίνει αιτία αφύπνισης.","efintaikou Παντού τα ίδια γίνονται, σ´ όλη την Ευρώπη, αλλά είναι καιρός η λύπη να γίνει αιτία αφύπνισης.",,,,efintaikou παντού τα ίδια γίνονται σ όλη την ευρώπη αλλά είναι καιρός η λύπη να γίνει αιτία αφύπνισης,0,TN,
561,''2401786363480300397,instagram,"🌀 Συγκρότηση Επιτροπών καταγραφής των ζημιών στις επιχειρήσεις από τον «Ιανό» - Αντιπλημμυρικά έργα 750.000 ευρώ 🌀 #ΠΙΝ #Λευκάδα #ΠολιτικήΠροστασία #CivilProtection #Ιανός #Ιανος #Ianos #ΠεριφερειακήΕνότηταΛευκάδας #ΠεριφέρειαΙονίωνΝήσων\n.\nΗ Περιφερειακή Ενότητα Λευκάδας συγκρότησε τις προβλεπόμενες Επιτροπές καταγραφής και αποτίμησης ζημιών, οι οποίες θα προβούν σε επιτόπιες αυτοψίες στις επιχειρήσεις που επλήγησαν από τα ακραία καιρικά φαινόμενα του μεσογειακού κυκλώνα «Ιανός».\n.\nΠαρακαλούνται, όσοι έχουν υποστεί ζημία σε επαγγελματικούς χώρους, να επικοινωνήσουν με την Π.Ε. Λευκάδας για την υποβολή σχετικής αίτησης με τα πλήρη στοιχεία της επιχείρησης, στα κάτωθι στοιχεία επικοινωνίας κατά τις εργάσιμες ημέρες και ώρες:\n📞 στο τηλέφωνο: 2645360703, και \n📧 στο email: antipin.lef@pin.gov.gr\n.\nΕπίσης, παρακαλούνται οι επιχειρήσεις που επλήγησαν να φωτογραφίσουν την τρέχουσα κατάσταση για την τεκμηρίωση των ζημιών και της κλίμακάς τους, ιδίως στις περιπτώσεις που υπάρχει ανάγκη άμεσης απομάκρυνσης υλικών, αντικειμένων, κλπ.\n.\n«Παρά την πρωτοφανή σφοδρότητα των καιρικών φαινομένων τα νησιά μας - η Λευκάδα, το Μεγανήσι, ο Κάλαμος και ο Καστός - άντεξαν. Τώρα, όλη μας η προσοχή είναι στραμμένη στην άμεση στήριξη όσων επλήγησαν. Ξεκινάμε αυτοψίες για την εκτίμηση των ζημιών στις επιχειρήσεις και τις υποδομές, ενώ γνωρίζω ότι πριν λίγο το Υπουργείο Οικονομικών ανακοίνωσε άμεσες παρεμβάσεις για την αποζημίωση φυσικών και νομικών προσώπων, νοικοκυριών και επιχειρήσεων, που επλήγησαν από τα ακραία καιρικά φαινόμενα του Μεσογειακού Κυκλώνα ‘Ιανός’» ανεφερε ο Αντιπεριφερειάρχης Λευκάδας, Ανδρέας Κτενάς, και συμπλήρωσε:\n.\n«Η Πολιτική Προστασία της Π.Ε. Λευκάδας ανταποκρίθηκε αποτελεσματικά, τόσο κατά την προετοιμασία όσο και κατά την εξέλιξη των φαινομένων. Όμως, αποδεικνύεται ότι, λόγω και της Κλιματικής Αλλαγής, τα ακραία καιρικά φαινόμενα είναι πλέον πιο συχνά και πιο ισχυρά σε ένταση. Προτεραιότητά μας είναι να ενισχύσουμε περαιτέρω την αντιπλημμυρική θωράκιση της Π.Ε. Λευκάδας, ώστε να μπορεί να ανταπεξέλθει στην νέα αυτή πραγματικότητα. Ήδη στα τέλη Αυγούστου δημοπρατήσαμε αντιπλημμυρικά έργα ύψους 750.000 ευρώ, ενώ προχωρούμε και στο σχεδιασμό και νέων έργων.».","Συγκρότηση Επιτροπών καταγραφής των ζημιών στις επιχειρήσεις από τον «Ιανό» - Αντιπλημμυρικά έργα 750.000 ευρώ #ΠΙΝ #Λευκάδα #ΠολιτικήΠροστασία #CivilProtection #Ιανός #Ιανος #Ianos #ΠεριφερειακήΕνότηταΛευκάδας #ΠεριφέρειαΙονίωνΝήσων\n.\nΗ Περιφερειακή Ενότητα Λευκάδας συγκρότησε τις προβλεπόμενες Επιτροπές καταγραφής και αποτίμησης ζημιών, οι οποίες θα προβούν σε επιτόπιες αυτοψίες στις επιχειρήσεις που επλήγησαν από τα ακραία καιρικά φαινόμενα του μεσογειακού κυκλώνα «Ιανός».\n.\nΠαρακαλούνται, όσοι έχουν υποστεί ζημία σε επαγγελματικούς χώρους, να επικοινωνήσουν με την Π.Ε. Λευκάδας για την υποβολή σχετικής αίτησης με τα πλήρη στοιχεία της επιχείρησης, στα κάτωθι στοιχεία επικοινωνίας κατά τις εργάσιμες ημέρες και ώρες:\n στο τηλέφωνο: 2645360703, και \n στο email: antipin.lef@pin.gov.gr\n.\nΕπίσης, παρακαλούνται οι επιχειρήσεις που επλήγησαν να φωτογραφίσουν την τρέχουσα κατάσταση για την τεκμηρίωση των ζημιών και της κλίμακάς τους, ιδίως στις περιπτώσεις που υπάρχει ανάγκη άμεσης απομάκρυνσης υλικών, αντικειμένων, κλπ.\n.\n«Παρά την πρωτοφανή σφοδρότητα των καιρικών φαινομένων τα νησιά μας - η Λευκάδα, το Μεγανήσι, ο Κάλαμος και ο Καστός - άντεξαν. Τώρα, όλη μας η προσοχή είναι στραμμένη στην άμεση στήριξη όσων επλήγησαν. Ξεκινάμε αυτοψίες για την εκτίμηση των ζημιών στις επιχειρήσεις και τις υποδομές, ενώ γνωρίζω ότι πριν λίγο το Υπουργείο Οικονομικών ανακοίνωσε άμεσες παρεμβάσεις για την αποζημίωση φυσικών και νομικών προσώπων, νοικοκυριών και επιχειρήσεων, που επλήγησαν από τα ακραία καιρικά φαινόμενα του Μεσογειακού Κυκλώνα ‘Ιανός’» ανεφερε ο Αντιπεριφερειάρχης Λευκάδας, Ανδρέας Κτενάς, και συμπλήρωσε:\n.\n«Η Πολιτική Προστασία της Π.Ε. Λευκάδας ανταποκρίθηκε αποτελεσματικά, τόσο κατά την προετοιμασία όσο και κατά την εξέλιξη των φαινομένων. Όμως, αποδεικνύεται ότι, λόγω και της Κλιματικής Αλλαγής, τα ακραία καιρικά φαινόμενα είναι πλέον πιο συχνά και πιο ισχυρά σε ένταση. Προτεραιότητά μας είναι να ενισχύσουμε περαιτέρω την αντιπλημμυρική θωράκιση της Π.Ε. Λευκάδας, ώστε να μπορεί να ανταπεξέλθει στην νέα αυτή πραγματικότητα. Ήδη στα τέλη Αυγούστου δημοπρατήσαμε αντιπλημμυρικά έργα ύψους 750.000 ευρώ, ενώ προχωρούμε και στο σχεδιασμό και νέων έργων.».",,,119803643_176873533909433_2456438800389935317_n.jpg,συγκρότηση επιτροπών καταγραφής των ζημιών στις επιχειρήσεις από τον ιανό αντιπλημμυρικά έργα 750 000 ευρώ πιν λευκάδα πολιτικήπροστασία civilprotection ιανός ιανος ianos περιφερειακήενότηταλευκάδας περιφέρειαιονίωννήσων n nη περιφερειακή ενότητα λευκάδας συγκρότησε τις προβλεπόμενες επιτροπές καταγραφής και αποτίμησης ζημιών οι οποίες θα προβούν σε επιτόπιες αυτοψίες στις επιχειρήσεις που επλήγησαν από τα ακραία καιρικά φαινόμενα του μεσογειακού κυκλώνα ιανός n nπαρακαλούνται όσοι έχουν υποστεί ζημία σε επαγγελματικούς χώρους να επικοινωνήσουν με την π ε λευκάδας για την υποβολή σχετικής αίτησης με τα πλήρη στοιχεία της επιχείρησης στα κάτωθι στοιχεία επικοινωνίας κατά τις εργάσιμες ημέρες και ώρες n στο τηλέφωνο 2645360703 και n στο email antipin lef pin gov gr n nεπίσης παρακαλούνται οι επιχειρήσεις που επλήγησαν να φωτογραφίσουν την τρέχουσα κατάσταση για την τεκμηρίωση των ζημιών και της κλίμακάς τους ιδίως στις περιπτώσεις που υπάρχει ανάγκη άμεσης απομάκρυνσης υλικών αντικειμένων κλπ n n παρά την πρωτοφανή σφοδρότητα των καιρικών φαινομένων τα νησιά μας η λευκάδα το μεγανήσι ο κάλαμος και ο καστός άντεξαν τώρα όλη μας η προσοχή είναι στραμμένη στην άμεση στήριξη όσων επλήγησαν ξεκινάμε αυτοψίες για την εκτίμηση των ζημιών στις επιχειρήσεις και τις υποδομές ενώ γνωρίζω ότι πριν λίγο το υπουργείο οικονομικών ανακοίνωσε άμεσες παρεμβάσεις για την αποζημίωση φυσικών και νομικών προσώπων νοικοκυριών και επιχειρήσεων που επλήγησαν από τα ακραία καιρικά φαινόμενα του μεσογειακού κυκλώνα ιανός ανεφερε ο αντιπεριφερειάρχης λευκάδας ανδρέας κτενάς και συμπλήρωσε n n η πολιτική προστασία της π ε λευκάδας ανταποκρίθηκε αποτελεσματικά τόσο κατά την προετοιμασία όσο και κατά την εξέλιξη των φαινομένων όμως αποδεικνύεται ότι λόγω και της κλιματικής αλλαγής τα ακραία καιρικά φαινόμενα είναι πλέον πιο συχνά και πιο ισχυρά σε ένταση προτεραιότητά μας είναι να ενισχύσουμε περαιτέρω την αντιπλημμυρική θωράκιση της π ε λευκάδας ώστε να μπορεί να ανταπεξέλθει στην νέα αυτή πραγματικότητα ήδη στα τέλη αυγούστου δημοπρατήσαμε αντιπλημμυρικά έργα ύψους 750 000 ευρώ ενώ προχωρούμε και στο σχεδιασμό και νέων έργων,1,TP,
